"Surface Carrez du 1er lot","Surface Carrez du 2eme lot","Surface Carrez du 3eme lot","Surface Carrez du 4eme lot","Surface Carrez du 5eme lot","Nombre de lots","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"70,55",,,,,1,"Appartement",69,4,,,
"24,13",,,,,1,"Appartement",35,1,,,
"62,6",,,,,1,"Appartement",63,3,,,
"68,01",,,,,1,"Appartement",67,3,,,
"40,96",,,,,1,"Appartement",41,2,,,
"79,72",,,,,1,"Appartement",79,4,,,
"41,5",,,,,3,"Appartement",41,2,,,
"82,16",,,,,1,"Appartement",83,4,,,
"48,35",,,,,1,"Appartement",49,2,,,
"65,48",,,,,1,"Appartement",65,3,,,
"87,84",,,,,1,"Maison",105,5,,,
"62,21",,,,,1,"Appartement",62,3,,,
"55,1",,,,,1,"Appartement",56,2,,,
51,,,,,2,"Appartement",52,2,,,
"40,18",,,,,1,"Appartement",41,2,,,
"67,24",,,,,1,"Appartement",68,3,,,
"50,6",,,,,1,"Appartement",50,2,,,
"39,68",,,,,1,"Appartement",40,2,,,
"40,93",,,,,2,"Appartement",40,2,,,
"42,1",,,,,1,"Appartement",41,2,,,
"93,3",,,,,3,"Appartement",94,4,,,
"44,79",,,,,2,"Appartement",45,2,,,
"62,26",,,,,1,"Appartement",64,3,,,
"26,91",,,,,1,"Appartement",28,1,,,
"50,97",,,,,1,"Appartement",70,3,,,
"39,93",,,,,1,"Appartement",39,2,,,
"43,92",,,,,1,"Appartement",43,1,,,
"23,05",,,,,1,"Appartement",23,1,,,
"52,92",,,,,1,"Appartement",55,3,,,
"48,48",,,,,1,"Appartement",50,2,,,
"33,69",,,,,1,"Appartement",34,2,,,
"72,6",,,,,2,"Appartement",73,4,,,
"86,15",,,,,1,"Appartement",82,4,,,
"19,75",,,,,1,"Appartement",33,1,,,
"88,03",,,,,1,"Appartement",82,4,,,
"100,07",,,,,1,"Maison",97,5,,,
"16,47",,,,,1,"Appartement",17,1,,,
"51,02",,,,,1,"Appartement",50,2,,,
"28,87",,,,,1,"Appartement",27,2,,,
"44,38",,,,,2,"Appartement",48,2,,,
"59,29",,,,,1,"Appartement",65,2,,,
"35,78",,,,,1,"Appartement",37,2,,,
"49,85",,,,,1,"Appartement",47,4,,,
67,,,,,1,"Appartement",67,4,,,
"20,78",,,,,1,"Appartement",23,1,,,
"247,54",,,,,1,"Maison",230,5,,,
"91,8",,,,,2,"Appartement",87,3,,,
"125,55",,,,,3,"Appartement",124,5,,,
"79,02",,,,,2,"Appartement",91,4,,,
"44,4",,,,,1,"Appartement",42,2,,,
"76,86",,,,,1,"Appartement",74,2,,,
"25,83",,,,,2,"Appartement",26,1,,,
"24,25",,,,,1,"Appartement",24,1,,,
51,,,,,1,"Appartement",43,3,,,
"81,39",,,,,1,"Appartement",83,3,,,
"36,2",,,,,1,"Appartement",37,1,,,
32,,,,,1,"Appartement",32,2,,,
29,,,,,1,"Appartement",29,2,,,
"39,28",,,,,1,"Appartement",40,2,,,
20,,,,,1,"Appartement",20,1,,,
"23,35",,,,,1,"Appartement",23,1,,,
"32,39",,,,,1,"Appartement",33,2,,,
"22,73",,,,,1,"Appartement",23,1,,,
"55,37",,,,,1,"Appartement",44,3,,,
"80,09",,,,,1,"Appartement",91,4,,,
"33,62",,,,,2,"Appartement",38,1,,,
"43,63",,,,,2,"Appartement",45,2,,,
"67,87",,,,,2,"Appartement",68,3,,,
"27,21",,,,,1,"Appartement",27,2,,,
"38,05",,,,,1,"Appartement",43,2,,,
"24,9",,,,,1,"Appartement",35,1,,,
"57,35",,,,,2,"Appartement",56,4,,,
"64,8",,,,,1,"Appartement",85,4,,,
"32,3",,,,,2,"Appartement",30,1,,,
4936,,,,,1,"Appartement",52,3,,,
"68,36",,,,,1,"Appartement",53,2,,,
"18,94",,,,,1,"Appartement",19,1,,,
"22,33",,,,,2,"Appartement",25,1,,,
"45,89",,,,,1,"Appartement",45,2,,,
"35,37",,,,,1,"Appartement",66,2,,,
"62,83",,,,,1,"Appartement",62,4,,,
"54,78",,,,,1,"Appartement",54,2,,,
"55,76",,,,,3,"Appartement",80,3,,,
"25,41",,,,,1,"Appartement",30,2,,,
68,,,,,1,"Maison",68,4,,,
23,,,,,3,"Appartement",94,3,,,
"62,51",,,,,1,"Appartement",74,3,,,
"26,67",,,,,1,"Appartement",30,1,,,
"37,4",,,,,1,"Appartement",27,1,,,
"56,1",,,,,1,"Appartement",64,3,,,
"57,05",,,,,1,"Appartement",44,2,,,
"36,26",,,,,1,"Appartement",40,2,,,
"85,66",,,,,2,"Appartement",85,4,,,
"57,43",,,,,1,"Appartement",58,2,,,
"37,03",,,,,1,"Appartement",36,2,,,
"18,5",,,,,1,"Appartement",19,1,,,
"42,48",,,,,1,"Appartement",42,2,,,
"62,44",,,,,2,"Appartement",62,3,,,
"38,85",,,,,1,"Appartement",39,3,,,
"37,81",,,,,1,"Appartement",33,2,,,
"44,4",,,,,1,"Appartement",44,2,,,
"56,9",,,,,1,"Appartement",56,3,,,
"52,32",,,,,2,"Appartement",47,2,,,
"21,73",,,,,1,"Appartement",21,2,,,
"40,31",,,,,2,"Appartement",39,2,,,
"54,43",,,,,1,"Appartement",54,3,,,
"82,89",,,,,1,"Appartement",84,4,,,
"28,59",,,,,1,"Appartement",29,2,,,
"65,61",,,,,1,"Appartement",65,3,,,
"57,66",,,,,2,"Appartement",52,3,,,
"54,48",,,,,1,"Appartement",54,2,,,
"87,66",,,,,1,"Maison",85,4,,,
"93,02",,,,,1,"Appartement",83,3,,,
"68,33",,,,,1,"Appartement",68,3,,,
"47,32",,,,,1,"Appartement",47,2,,,
"90,63",,,,,1,"Appartement",56,3,,,
"21,13",,,,,1,"Appartement",25,1,,,
"61,25",,,,,1,"Appartement",61,3,,,
"36,7",,,,,1,"Appartement",37,1,,,
"70,29",,,,,2,"Appartement",74,3,,,
"49,47",,,,,1,"Appartement",45,3,,,
"90,24",,,,,1,"Maison",90,4,,,
"21,45",,,,,2,"Appartement",21,1,,,
"21,45",,,,,2,"Appartement",22,1,,,
"91,86",,,,,1,"Appartement",62,3,,,
"27,6",,,,,2,"Appartement",28,1,,,
"62,64",,,,,1,"Appartement",69,3,,,
"54,5",,,,,2,"Appartement",54,3,,,
"29,89",,,,,1,"Appartement",28,1,,,
"35,55",,,,,2,"Appartement",45,3,,,
"46,62",,,,,1,"Appartement",48,1,,,
"35,74",,,,,2,"Appartement",38,1,,,
"17,39",,,,,1,"Appartement",17,1,,,
"50,02",,,,,2,"Appartement",49,2,,,
"47,89",,,,,1,"Appartement",47,2,,,
"24,2",,,,,1,"Appartement",30,1,,,
"118,64",,,,,1,"Appartement",118,5,,,
"30,93",,,,,2,"Appartement",30,1,,,
"65,75",,,,,1,"Appartement",63,3,,,
"30,39",,,,,1,"Appartement",32,1,,,
"36,8",,,,,1,"Appartement",48,2,,,
"39,25",,,,,2,"Appartement",40,3,,,
"75,27",,,,,1,"Appartement",55,2,,,
"77,16",,,,,3,"Appartement",73,4,,,
"5,21",,,,,1,"Appartement",8,1,,,
"36,59",,,,,1,"Appartement",42,2,,,
"25,32",,,,,1,"Appartement",28,1,,,
"18,76",,,,,1,"Appartement",19,1,,,
"51,58",,,,,2,"Appartement",54,2,,,
"37,72",,,,,1,"Appartement",40,1,,,
"81,97",,,,,1,"Maison",82,4,,,
85,,,,,4,"Appartement",80,4,,,
"63,77",,,,,1,"Appartement",62,3,,,
"20,09",,,,,1,"Appartement",20,1,,,
"13,47",,,,,1,"Appartement",13,1,,,
"18,8",,,,,1,"Appartement",22,1,,,
"66,69",,,,,1,"Appartement",65,3,,,
"19,09",,,,,1,"Appartement",19,1,,,
"73,36",,,,,3,"Appartement",70,3,,,
"94,42",,,,,1,"Appartement",94,4,,,
"64,57",,,,,1,"Appartement",64,4,,,
"66,4",,,,,1,"Maison",68,4,,,
"21,07",,,,,1,"Appartement",25,2,,,
"23,7",,,,,1,"Appartement",26,1,,,
"62,05",,,,,1,"Appartement",66,3,,,
90,,,,,1,"Appartement",80,3,,,
"18,2",,,,,1,"Appartement",19,1,,,
"59,51",,,,,6,"Appartement",59,3,,,
"32,14",,,,,1,"Appartement",33,1,,,
"42,51",,,,,1,"Appartement",43,2,,,
33,,,,,3,"Appartement",40,2,,,
"41,63",,,,,1,"Appartement",41,2,,,
"37,27",,,,,1,"Appartement",37,2,,,
"25,77",,,,,1,"Appartement",25,3,,,
"94,23",,,,,2,"Appartement",105,4,,,
"15,4",,,,,1,"Appartement",15,1,,,
"33,19",,,,,1,"Appartement",31,1,,,
"41,65",,,,,2,"Appartement",41,2,,,
"33,47",,,,,2,"Appartement",33,1,,,
"66,41",,,,,1,"Appartement",68,3,,,
"45,16",,,,,2,"Appartement",50,2,,,
"47,57",,,,,1,"Appartement",47,1,,,
"28,95",,,,,1,"Appartement",30,1,,,
"43,15",,,,,1,"Appartement",44,1,,,
"78,51",,,,,1,"Appartement",76,4,,,
"71,51",,,,,1,"Appartement",68,3,,,
"11,91",,,,,1,"Appartement",10,1,,,
"37,52",,,,,2,"Appartement",38,2,,,
"62,78",,,,,1,"Maison",64,3,,,
"52,29",,,,,1,"Appartement",79,3,,,
"39,2",,,,,2,"Appartement",40,2,,,
"60,68",,,,,1,"Appartement",61,3,,,
"29,79",,,,,1,"Appartement",29,1,,,
"65,48",,,,,1,"Appartement",65,3,,,
"77,4",,,,,3,"Appartement",77,4,,,
"49,98",,,,,3,"Appartement",50,3,,,
75,,,,,1,"Appartement",60,3,,,
"57,37",,,,,1,"Appartement",55,3,,,
"64,07",,,,,1,"Appartement",64,3,,,
"59,4",,,,,1,"Appartement",63,3,,,
"33,5",,,,,1,"Appartement",33,1,,,
"65,7",,,,,2,"Appartement",65,3,,,
"61,27",,,,,2,"Appartement",60,3,,,
"64,49",,,,,1,"Appartement",57,2,,,
"29,24",,,,,2,"Appartement",30,1,,,
"91,2",,,,,2,"Appartement",93,4,,,
"57,03",,,,,2,"Appartement",58,3,,,
"51,26",,,,,1,"Appartement",53,2,,,
"58,58",,,,,4,"Appartement",57,3,,,
"63,1",,,,,1,"Appartement",70,3,,,
"68,01",,,,,1,"Appartement",68,3,,,
"18,1",,,,,1,"Appartement",19,1,,,
"28,75",,,,,2,"Appartement",29,1,,,
"76,45",,,,,2,"Appartement",77,4,,,
"65,52",,,,,2,"Appartement",66,3,,,
"61,54",,,,,1,"Appartement",59,2,,,
"88,45",,,,,1,"Maison",89,4,,,
"42,94",,,,,2,"Appartement",46,2,,,
"62,88",,,,,1,"Appartement",69,3,,,
"42,2",,,,,1,"Appartement",42,2,,,
"24,71",,,,,1,"Appartement",28,2,,,
"66,95",,,,,1,"Appartement",68,3,,,
"36,26",,,,,2,"Appartement",35,2,,,
"78,61",,,,,1,"Appartement",71,4,,,
"86,29",,,,,1,"Appartement",86,4,,,
"56,04",,,,,1,"Appartement",126,6,,,
"25,53",,,,,1,"Appartement",27,1,,,
"66,2",,,,,1,"Appartement",64,3,,,
"58,77",,,,,1,"Appartement",54,3,,,
"29,49",,,,,1,"Appartement",30,1,,,
"45,91",,,,,1,"Appartement",47,2,,,
"80,7",,,,,1,"Maison",81,4,,,
"93,07",,,,,1,"Maison",100,5,,,
"63,17",,,,,1,"Appartement",63,3,,,
"77,44",,,,,2,"Appartement",74,5,,,
"83,27",,,,,1,"Appartement",83,4,,,
"65,97",,,,,2,"Appartement",62,3,,,
"128,58",,,,,1,"Maison",94,5,,,
"36,28",,,,,1,"Appartement",37,2,,,
31,,,,,1,"Appartement",20,1,,,
"80,7",,,,,2,"Appartement",81,5,,,
"30,66",,,,,2,"Appartement",30,1,,,
"40,27",,,,,2,"Appartement",60,2,,,
"17,96",,,,,1,"Appartement",19,1,,,
67,,,,,1,"Appartement",65,3,,,
"93,73",,,,,3,"Maison",105,5,,,
"67,23",,,,,1,"Appartement",67,3,,,
"68,02",,,,,2,"Appartement",71,3,,,
"41,1",,,,,2,"Appartement",41,2,,,
"63,09",,,,,2,"Appartement",60,2,,,
"54,66",,,,,1,"Appartement",65,2,,,
"56,78",,,,,1,"Appartement",60,3,,,
"36,06",,,,,1,"Appartement",37,1,,,
"49,81",,,,,1,"Appartement",51,2,,,
"79,27",,,,,1,"Appartement",81,4,,,
"36,32",,,,,2,"Appartement",35,2,,,
"24,7",,,,,2,"Appartement",42,2,,,
"82,7",,,,,1,"Maison",82,3,,,
"52,52",,,,,2,"Appartement",52,3,,,
"67,64",,,,,1,"Appartement",63,3,,,
"21,4",,,,,1,"Appartement",15,1,,,
"34,29",,,,,1,"Appartement",34,1,,,
"88,42",,,,,1,"Appartement",88,5,,,
31,,,,,2,"Appartement",31,1,,,
"41,58",,,,,1,"Appartement",19,1,,,
"54,12",,,,,1,"Appartement",55,3,,,
"93,33",,,,,1,"Appartement",84,4,,,
"57,5",,,,,1,"Appartement",65,2,,,
"76,11",,,,,2,"Appartement",46,2,,,
"42,94",,,,,2,"Appartement",41,1,,,
"43,47",,,,,2,"Appartement",43,2,,,
"51,17",,,,,1,"Appartement",49,2,,,
"30,2",,,,,2,"Appartement",30,1,,,
"72,26",,,,,1,"Appartement",65,3,,,
"78,65",,,,,1,"Appartement",78,4,,,
"106,72",,,,,2,"Appartement",83,3,,,
"63,75",,,,,2,"Appartement",68,2,,,
"35,14",,,,,1,"Appartement",44,2,,,
"109,1",,,,,1,"Appartement",105,4,,,
97,,,,,1,"Maison",97,4,,,
"84,34",,,,,1,"Maison",82,4,,,
"94,8",,,,,1,"Appartement",91,5,,,
"39,94",,,,,1,"Appartement",43,1,,,
"103,95",,,,,1,"Maison",114,6,,,
"38,96",,,,,1,"Appartement",40,1,,,
"35,72",,,,,1,"Appartement",37,1,,,
"26,87",,,,,1,"Appartement",30,1,,,
"73,55",,,,,2,"Appartement",72,4,,,
"32,27",,,,,1,"Appartement",32,1,,,
"82,73",,,,,2,"Appartement",81,5,,,
"54,3",,,,,1,"Appartement",48,2,,,
"74,49",,,,,1,"Appartement",75,4,,,
"75,77",,,,,1,"Appartement",75,4,,,
"31,92",,,,,1,"Appartement",33,1,,,
"25,55",,,,,1,"Appartement",28,1,,,
"54,49",,,,,1,"Appartement",54,3,,,
"39,25",,,,,1,"Appartement",40,1,,,
"75,54",,,,,1,"Appartement",69,3,,,
"119,66",,,,,1,"Appartement",117,4,,,
"63,03",,,,,1,"Appartement",63,3,,,
"45,81",,,,,1,"Appartement",47,2,,,
"17,41",,,,,1,"Appartement",16,1,,,
"62,62",,,,,1,"Appartement",57,3,,,
"76,43",,,,,2,"Appartement",76,5,,,
"32,9",,,,,1,"Appartement",32,1,,,
"34,45",,,,,1,"Appartement",73,4,,,
"24,5",,,,,1,"Appartement",25,1,,,
"22,56",,,,,1,"Appartement",26,1,,,
"16,16",,,,,1,"Appartement",15,1,,,
"43,2",,,,,1,"Appartement",43,2,,,
"19,95",,,,,1,"Appartement",25,1,,,
"75,7",,,,,1,"Appartement",83,2,,,
"48,99",,,,,1,"Appartement",49,2,,,
"31,5",,,,,1,"Appartement",30,1,,,
"37,95",,,,,4,"Appartement",38,1,,,
"61,32",,,,,1,"Appartement",59,3,,,
72,,,,,3,"Appartement",72,3,,,
"40,3",,,,,1,"Appartement",39,1,,,
"90,08",,,,,1,"Maison",79,4,,,
74,,,,,1,"Appartement",72,3,,,
"45,88",,,,,1,"Appartement",42,2,,,
"34,71",,,,,2,"Appartement",35,2,,,
"34,97",,,,,1,"Appartement",35,2,,,
"17,89",,,,,1,"Appartement",17,1,,,
"13,05",,,,,1,"Appartement",13,1,,,
"50,25",,,,,1,"Appartement",50,2,,,
"42,05",,,,,2,"Appartement",41,2,,,
"70,44",,,,,1,"Appartement",71,3,,,
"40,27",,,,,1,"Appartement",40,2,,,
"18,51",,,,,2,"Maison",19,1,,,
"97,35",,,,,1,"Appartement",90,5,,,
"125,71",,,,,1,"Appartement",124,4,,,
"27,95",,,,,2,"Appartement",27,1,,,
"38,41",,,,,1,"Appartement",39,2,,,
"76,86",,,,,1,"Appartement",69,3,,,
69,,,,,2,"Appartement",70,4,,,
"30,21",,,,,1,"Appartement",30,1,,,
39,,,,,2,"Appartement",39,2,,,
"27,66",,,,,2,"Appartement",30,1,,,
"18,16",,,,,1,"Appartement",19,1,,,
"20,93",,,,,1,"Appartement",23,1,,,
"31,01",,,,,1,"Appartement",32,1,,,
"67,15",,,,,1,"Appartement",64,3,,,
"62,99",,,,,2,"Appartement",63,3,,,
"63,19",,,,,1,"Appartement",61,3,,,
"28,85",,,,,1,"Appartement",32,1,,,
"33,75",,,,,1,"Appartement",35,1,,,
"72,22",,,,,1,"Appartement",75,3,,,
"19,53",,,,,1,"Appartement",21,1,,,
"44,38",,,,,2,"Appartement",46,2,,,
"34,59",,,,,1,"Appartement",38,2,,,
"74,48",,,,,1,"Appartement",75,4,,,
"50,8",,,,,1,"Appartement",48,2,,,
"50,8",,,,,1,"Appartement",51,2,,,
"47,92",,,,,1,"Appartement",48,2,,,
"52,95",,,,,1,"Appartement",55,3,,,
"55,48",,,,,1,"Appartement",55,2,,,
"69,4",,,,,1,"Maison",70,3,,,
70,,,,,1,"Appartement",69,4,,,
"45,6",,,,,1,"Maison",45,2,,,
"70,42",,,,,1,"Appartement",69,4,,,
48,,,,,1,"Appartement",48,2,,,
"95,74",,,,,2,"Appartement",95,3,,,
"76,75",,,,,2,"Appartement",73,3,,,
18,,,,,1,"Appartement",19,0,,,
"81,25",,,,,1,"Appartement",81,4,,,
"61,23",,,,,1,"Appartement",62,3,,,
"60,73",,,,,2,"Appartement",61,4,,,
"48,3",,,,,1,"Appartement",49,3,,,
"57,64",,,,,1,"Appartement",58,3,,,
"76,48",,,,,2,"Appartement",77,4,,,
"73,12",,,,,1,"Appartement",68,3,,,
"71,79",,,,,1,"Appartement",77,3,,,
31,,,,,1,"Appartement",31,2,,,
"47,67",,,,,1,"Appartement",47,2,,,
"87,7",,,,,1,"Appartement",83,4,,,
"52,39",,,,,1,"Appartement",54,3,,,
"64,64",,,,,2,"Appartement",68,4,,,
"100,78",,,,,1,"Maison",98,5,,,
"60,46",,,,,1,"Appartement",57,2,,,
"132,05",,,,,1,"Appartement",141,4,,,
"42,06",,,,,1,"Appartement",42,2,,,
"50,11",,,,,1,"Appartement",50,2,,,
"110,12",,,,,1,"Appartement",117,4,,,
"17,3",,,,,1,"Appartement",17,1,,,
54,,,,,1,"Appartement",53,3,,,
"195,88",,,,,1,"Appartement",169,6,,,
"79,09",,,,,1,"Appartement",63,3,,,
"21,83",,,,,1,"Appartement",23,1,,,
"14,75",,,,,1,"Appartement",15,1,,,
"70,09",,,,,1,"Appartement",70,3,,,
"74,5",,,,,1,"Appartement",75,3,,,
"75,92",,,,,1,"Appartement",90,3,,,
"69,31",,,,,2,"Appartement",65,4,,,
"83,63",,,,,1,"Appartement",83,4,,,
"88,21",,,,,1,"Appartement",87,4,,,
"66,89",,,,,1,"Appartement",65,2,,,
79,,,,,2,"Appartement",85,4,,,
"53,23",,,,,2,"Appartement",53,3,,,
"59,14",,,,,1,"Appartement",62,2,,,
"51,58",,,,,2,"Appartement",57,2,,,
"99,09",,,,,2,"Appartement",95,4,,,
"21,55",,,,,1,"Appartement",22,1,,,
"46,4",,,,,1,"Appartement",46,2,,,
"69,34",,,,,2,"Appartement",68,4,,,
"78,45",,,,,1,"Appartement",79,4,,,
"29,05",,,,,2,"Appartement",28,1,,,
"19,76",,,,,1,"Appartement",18,1,,,
"96,37",,,,,1,"Appartement",97,5,,,
"38,54",,,,,1,"Appartement",39,1,,,
"60,29",,,,,2,"Appartement",60,3,,,
"22,58",,,,,1,"Appartement",22,1,,,
"15,05",,,,,1,"Appartement",13,0,,,
"104,96",,,,,1,"Appartement",107,4,,,
"92,62",,,,,2,"Appartement",90,4,,,
"49,06",,,,,2,"Appartement",49,3,,,
"57,58",,,,,1,"Appartement",52,3,,,
"38,14",,,,,1,"Appartement",40,2,,,
"60,87",,,,,1,"Appartement",57,2,,,
"93,54",,,,,1,"Appartement",92,4,,,
"44,7",,,,,1,"Appartement",39,1,,,
"118,33",,,,,1,"Appartement",116,5,,,
"70,38",,,,,1,"Appartement",61,3,,,
"79,28",,,,,1,"Appartement",79,4,,,
"70,19",,,,,1,"Appartement",70,3,,,
"61,27",,,,,1,"Appartement",61,3,,,
"196,88",,,,,1,"Appartement",199,6,,,
"22,36",,,,,1,"Appartement",22,1,,,
"32,44",,,,,2,"Appartement",31,1,,,
"74,11",,,,,2,"Appartement",73,4,,,
"70,39",,,,,1,"Appartement",70,3,,,
"65,48",,,,,1,"Appartement",65,3,,,
"24,44",,,,,1,"Appartement",24,1,,,
"95,68",,,,,1,"Appartement",93,4,,,
"56,41",,,,,2,"Appartement",43,3,,,
"48,67",,,,,2,"Appartement",49,3,,,
"53,68",,,,,2,"Appartement",55,3,,,
"18,82",,,,,1,"Appartement",19,1,,,
"24,42",,,,,2,"Appartement",24,1,,,
"73,08",,,,,2,"Appartement",73,4,,,
"58,89",,,,,1,"Appartement",56,2,,,
"68,09",,,,,1,"Appartement",74,3,,,
"19,45",,,,,1,"Appartement",19,1,,,
"70,16",,,,,1,"Appartement",74,4,,,
"63,24",,,,,1,"Appartement",60,3,,,
"61,83",,,,,2,"Appartement",69,3,,,
"82,4",,,,,2,"Appartement",74,4,,,
"60,49",,,,,1,"Appartement",60,3,,,
"63,48",,,,,1,"Appartement",63,3,,,
"61,08",,,,,2,"Appartement",63,4,,,
"38,33",,,,,1,"Appartement",38,1,,,
"117,86",,,,,2,"Appartement",126,4,,,
"41,2",,,,,1,"Appartement",40,2,,,
"27,63",,,,,1,"Appartement",28,1,,,
"91,37",,,,,1,"Appartement",92,4,,,
"65,4",,,,,1,"Appartement",64,3,,,
"73,9",,,,,2,"Appartement",77,4,,,
"64,88",,,,,1,"Appartement",65,3,,,
"85,97",,,,,1,"Appartement",91,4,,,
"97,23",,,,,2,"Appartement",96,4,,,
"71,18",,,,,1,"Appartement",72,3,,,
"47,28",,,,,1,"Appartement",47,2,,,
"54,88",,,,,2,"Appartement",57,1,,,
"72,23",,,,,2,"Appartement",75,3,,,
"84,55",,,,,1,"Appartement",80,4,,,
"48,25",,,,,1,"Appartement",48,2,,,
"18,5",,,,,1,"Appartement",19,1,,,
"60,19",,,,,2,"Appartement",59,4,,,
"62,47",,,,,1,"Appartement",56,2,,,
"58,47",,,,,2,"Appartement",60,3,,,
"73,58",,,,,1,"Appartement",72,4,,,
"77,9",,,,,1,"Appartement",83,4,,,
57,,,,,1,"Appartement",58,2,,,
"40,16",,,,,1,"Appartement",40,2,,,
"68,5",,,,,2,"Appartement",71,4,,,
"97,44",,,,,1,"Appartement",99,5,,,
"60,74",,,,,1,"Appartement",61,3,,,
"82,16",,,,,1,"Appartement",82,3,,,
"70,1",,,,,1,"Appartement",71,4,,,
"81,03",,,,,1,"Appartement",80,4,,,
"66,69",,,,,1,"Appartement",66,3,,,
"82,96",,,,,1,"Appartement",81,4,,,
"53,02",,,,,1,"Appartement",60,1,,,
"52,8",,,,,1,"Appartement",56,4,,,
"21,02",,,,,1,"Appartement",21,1,,,
"62,85",,,,,1,"Appartement",62,3,,,
"54,06",,,,,2,"Appartement",54,3,,,
"70,74",,,,,1,"Appartement",70,3,,,
"68,83",,,,,1,"Appartement",69,3,,,
"95,53",,,,,1,"Appartement",98,2,,,
"109,65",,,,,1,"Appartement",111,4,,,
"28,47",,,,,1,"Appartement",28,1,,,
"35,35",,,,,2,"Appartement",35,2,,,
"80,76",,,,,1,"Maison",68,4,"S",,635
"50,41",,,,,1,"Appartement",49,2,,,
"92,31",,,,,1,"Appartement",89,3,,,
"51,74",,,,,1,"Appartement",52,2,,,
"62,76",,,,,1,"Appartement",65,3,,,
"13,44",,,,,1,"Appartement",14,1,,,
"88,25",,,,,1,"Appartement",87,4,,,
"59,53",,,,,1,"Appartement",60,3,,,
"82,99",,,,,1,"Appartement",82,4,,,
62,,,,,1,"Appartement",65,3,,,
"67,71",,,,,2,"Appartement",68,2,,,
"99,48",,,,,1,"Maison",85,5,,,
"34,32",,,,,1,"Appartement",34,1,,,
18,,,,,1,"Appartement",18,1,,,
"89,16",,,,,1,"Appartement",88,4,,,
"74,54",,,,,1,"Appartement",74,3,,,
"103,83",,,,,1,"Appartement",108,3,,,
"18,2",,,,,1,"Appartement",18,1,,,
"122,2",,,,,1,"Appartement",115,4,,,
"65,15",,,,,1,"Appartement",65,3,,,
"68,01",,,,,2,"Appartement",69,4,,,
32,,,,,1,"Appartement",32,2,,,
"71,86",,,,,1,"Appartement",71,3,,,
"40,15",,,,,1,"Appartement",40,1,,,
"76,84",,,,,2,"Appartement",75,4,,,
"118,7",,,,,1,"Maison",117,6,,,
"53,63",,,,,2,"Appartement",54,3,,,
"97,43",,,,,1,"Appartement",97,5,,,
"105,24",,,,,1,"Appartement",105,5,,,
"38,15",,,,,2,"Appartement",39,2,,,
"61,64",,,,,1,"Appartement",61,3,,,
86,,,,,1,"Appartement",85,3,,,
"133,93",,,,,1,"Appartement",133,4,,,
"49,22",,,,,1,"Appartement",49,2,,,
"52,45",,,,,1,"Appartement",52,2,,,
"81,3",,,,,2,"Appartement",78,4,,,
"70,69",,,,,1,"Appartement",72,3,,,
"89,33",,,,,1,"Appartement",82,3,,,
"106,92",,,,,1,"Appartement",110,4,,,
"150,74",,,,,1,"Appartement",157,5,,,
"64,9",,,,,1,"Appartement",64,3,,,
"111,06",,,,,1,"Maison",102,4,,,
"55,49",,,,,1,"Appartement",55,3,,,
"102,1",,,,,1,"Appartement",102,5,,,
"26,4",,,,,2,"Appartement",27,1,,,
"44,94",,,,,1,"Appartement",45,2,,,
"67,77",,,,,2,"Appartement",67,4,,,
"19,98",,,,,2,"Appartement",18,1,,,
"20,35",,,,,1,"Appartement",20,1,,,
"44,68",,,,,1,"Appartement",45,1,,,
"88,66",,,,,1,"Appartement",93,4,,,
"68,04",,,,,2,"Appartement",73,3,,,
"81,91",,,,,1,"Appartement",82,5,,,
"45,05",,,,,1,"Appartement",44,2,,,
"58,6",,,,,1,"Appartement",59,3,,,
"86,96",,,,,1,"Appartement",85,3,,,
"64,09",,,,,1,"Appartement",65,3,,,
"94,17",,,,,1,"Appartement",94,3,,,
"19,48",,,,,1,"Appartement",18,1,,,
"73,16",,,,,2,"Appartement",73,4,,,
"79,18",,,,,1,"Appartement",88,5,,,
"57,16",,,,,1,"Appartement",60,2,,,
"48,45",,,,,2,"Appartement",48,1,,,
"62,3",,,,,1,"Appartement",62,3,,,
"71,62",,,,,2,"Appartement",72,3,,,
"31,86",,,,,1,"Appartement",30,1,,,
"15,31",,,,,1,"Appartement",15,1,,,
"56,63",,,,,1,"Appartement",58,3,,,
"67,94",,,,,1,"Appartement",67,3,,,
"57,63",,,,,3,"Appartement",60,3,,,
"87,07",,,,,1,"Appartement",83,3,,,
"27,42",,,,,1,"Appartement",30,0,,,
"58,72",,,,,1,"Appartement",58,3,,,
"68,5",,,,,1,"Appartement",76,3,"S",,48
"122,77",,,,,1,"Appartement",124,5,,,
"84,95",,,,,2,"Appartement",83,5,,,
102,,,,,1,"Appartement",97,4,,,
"68,44",,,,,2,"Appartement",70,3,,,
"69,16",,,,,2,"Appartement",71,4,,,
"67,4",,,,,2,"Appartement",68,4,,,
"67,67",,,,,1,"Appartement",67,3,,,
"45,53",,,,,1,"Appartement",42,1,,,
"98,57",,,,,1,"Appartement",104,3,,,
"11,1",,,,,1,"Appartement",11,1,,,
"66,25",,,,,1,"Appartement",66,3,,,
"76,04",,,,,2,"Appartement",77,4,,,
"59,12",,,,,1,"Appartement",61,4,,,
"14,1",,,,,1,"Appartement",15,1,,,
"65,01",,,,,1,"Appartement",65,4,,,
