"Numvoie","B_T_Q","TypeDeVoie","Voie","CodePostal","Commune"
14,,"AV","DU MARECHAL LECLERC",33700,"MERIGNAC"
3,,"ALL","DES DAHLIAS",33700,"MERIGNAC"
137,,"AV","DOCTEUR NANCEL PENARD",33600,"PESSAC"
31,,"RUE","GASPARD PHILIPPE",33800,"BORDEAUX"
26,,"RUE","GAY",33400,"TALENCE"
20,,"RUE","BOURGES",33400,"TALENCE"
1,,"ALL","DU PUITS DE MARAN",33130,"BEGLES"
50,,"RUE","AMEDEE SAINT GERMAIN",33800,"BORDEAUX"
9,,"ALL","DES TULIPES",33600,"PESSAC"
253,,"RUE","FREDERIC SEVENE",33400,"TALENCE"
18,,"RUE","DU PUITS DESCAZEAUX",33000,"BORDEAUX"
690,,"CRS","DE LA LIBERATION",33400,"TALENCE"
9001,,"RES","DOMAINE DE LA HE",33140,"VILLENAVE D ORNON"
1,,"IMP","SOUBIRAN",33000,"BORDEAUX"
25,,"RUE","DUBLAN",33800,"BORDEAUX"
9001,,"RUE","DU CHATEAU D EAU",33600,"PESSAC"
41,,"RUE","DU GENERAL BORDAS",33400,"TALENCE"
365,,"AV","ARISTIDE BRIAND",33700,"MERIGNAC"
9001,,"RES","LANCELOT",33400,"TALENCE"
64,,"ALL","ARISTIDE BRIAND",33127,"SAINT JEAN D ILLAC"
259,,"CRS","DU MARECHAL GALLIENI",33000,"BORDEAUX"
9001,,"RES","L HOST",33170,"GRADIGNAN"
6,,"RUE","GINER DE LOS RIOS",33800,"BORDEAUX"
690,,"CRS","DE LA LIBERATION",33400,"TALENCE"
16,"B","RUE","CALIXTE CAMELLE",33400,"TALENCE"
28,"T","RUE","PAUL DOUMER",33400,"TALENCE"
4,,"CRS","BARBEY",33800,"BORDEAUX"
10,,"ALL","DE FRANCS",33130,"BEGLES"
9001,,"RES","SAINT JACQUES",33170,"GRADIGNAN"
3,,"RUE","CADROIN",33000,"BORDEAUX"
690,,"CRS","DE LA LIBERATION",33400,"TALENCE"
16,"B","RUE","ARTIGUEMALE",33600,"PESSAC"
9002,,"RES","LES TOURS DE NAUDET",33170,"GRADIGNAN"
41,,"RUE","SOCRATE",33600,"PESSAC"
237,,"RUE","DU QUATORZE JUILLET",33400,"TALENCE"
10,,"RUE","SAUMENUDE",33800,"BORDEAUX"
199,,"AV","DES PYRENEES",33140,"VILLENAVE D ORNON"
114,,"BD","ALBERT 1ER",33800,"BORDEAUX"
45,,"AV","COL PIERRE BOURGOIN",33127,"MARTIGNAS SUR JALLE"
4,,"ALL","DES JACINTHES",33610,"CANEJAN"
4,,"RUE","JULIEN GRACQ",33130,"BEGLES"
8,,"RUE","DES CEPAGES",33700,"MERIGNAC"
2,,"CRS","ARISTIDE BRIAND",33000,"BORDEAUX"
54,,"RUE","DE LALANDE",33000,"BORDEAUX"
14,,"RUE","FOUNDIOUGNE",33127,"MARTIGNAS SUR JALLE"
118,"B","AV","JEAN JAURES",33600,"PESSAC"
39,,"AV","MAL DE LATTRE DE TASSIGNY",33140,"VILLENAVE D ORNON"
163,,"RUE","ROUSTAING",33400,"TALENCE"
50,,,"MISSION HAUT BRION",33400,"TALENCE"
9001,,"RES","LA LISIERE DE GRADIGNAN",33170,"GRADIGNAN"
17,,"RUE","DES AIRELLES",33170,"GRADIGNAN"
29,,"RUE","PUYSEGUR",33800,"BORDEAUX"
30,,"RUE","CHARLES BOUBES",33700,"MERIGNAC"
19,,"AV","DU STADE",33600,"PESSAC"
1,,"RUE","DU DOCTEUR ROCAZ",33000,"BORDEAUX"
129,,"AV","DOCTEUR NANCEL PENARD",33600,"PESSAC"
9,"B","RUE","DANTON",33400,"TALENCE"
8,,"ALL","DES FOUGERES",33700,"MERIGNAC"
33,,"RUE","MARCEL SEMBAT",33130,"BEGLES"
90,,"RUE","DU JARD",33700,"MERIGNAC"
237,,"RUE","DU QUATORZE JUILLET",33400,"TALENCE"
28,,"CRS","VICTOR HUGO",33000,"BORDEAUX"
29,,"RUE","GOUAIS LANOS",33000,"BORDEAUX"
6,,"RUE","DE LA CHENAIE",33170,"GRADIGNAN"
29,,"AV","FRANCOIS MITTERRAND",33700,"MERIGNAC"
1,"T","RUE","VOLTAIRE",33130,"BEGLES"
50,,,"MISSION HAUT BRION",33400,"TALENCE"
26,,"RUE","RENE GOBLET",33400,"TALENCE"
47,,"RUE","DE SAGET",33800,"BORDEAUX"
2,,"AV","RAYMOND POINCARE",33700,"MERIGNAC"
66,,"RUE","LAFITTE",33400,"TALENCE"
32,,"RUE","SOCRATE",33600,"PESSAC"
9001,,"RUE","ROBERT BALLION",33700,"MERIGNAC"
15,,"RUE","BLUMEREL",33400,"TALENCE"
37,,"RUE","DE LA FUSTERIE",33000,"BORDEAUX"
11,,"ALL","DES TULIPES",33600,"PESSAC"
4,,"ALL","ANDRE THURET",33700,"MERIGNAC"
290,,"RUE","D ORNANO",33000,"BORDEAUX"
9001,,"RUE","LOUIS DAVID",33400,"TALENCE"
82,,"BD","ALBERT 1ER",33800,"BORDEAUX"
9001,,"RES","CRESPY II",33400,"TALENCE"
690,,"CRS","DE LA LIBERATION",33400,"TALENCE"
116,,"RUE","DE BELFORT",33000,"BORDEAUX"
49,,"RUE","DU RELAIS",33600,"PESSAC"
690,,"CRS","DE LA LIBERATION",33400,"TALENCE"
1,,"AV","DU PARC",33610,"CANEJAN"
739,,"CRS","DE LA LIBERATION",33600,"PESSAC"
12,,"RUE","BLUMEREL",33400,"TALENCE"
19,,"RUE","DU BOURDILLOT",33700,"MERIGNAC"
4,,"RUE","JEAN ZUBIETA",33400,"TALENCE"
61,"B","AV","DE MAGUDAS",33700,"MERIGNAC"
10,,"RUE","DU LEVANT",33140,"VILLENAVE D ORNON"
13,,"RUE","LEO DROUYN",33000,"BORDEAUX"
32,,"AV","MARC NOUAUX",33610,"CESTAS"
13,,"CRS","DU GENERAL DE GAULLE",33170,"GRADIGNAN"
31,,"RUE","GASPARD PHILIPPE",33800,"BORDEAUX"
21,,"CRS","DU GENERAL DE GAULLE",33170,"GRADIGNAN"
6,,"RUE","DES VIOLETTES",33700,"MERIGNAC"
558,,"RTE","DE TOULOUSE",33140,"VILLENAVE D ORNON"
85,,"RUE","LEO SAIGNAT",33000,"BORDEAUX"
29,,"RUE","BRULATOUR",33800,"BORDEAUX"
29,,"RUE","BRULATOUR",33800,"BORDEAUX"
63,,"RUE","DE LA ROUSSELLE",33000,"BORDEAUX"
179,,"RUE","SAINTE CATHERINE",33000,"BORDEAUX"
38,,"AV","VIEILLE TOUR",33400,"TALENCE"
13,,"RUE","PIERRE LOTI",33800,"BORDEAUX"
28,,"CRS","DE L ARGONNE",33000,"BORDEAUX"
13,,"RUE","PIERRE LOTI",33800,"BORDEAUX"
17,,"RUE","HENRI IV",33000,"BORDEAUX"
10,,"RUE","RENE DUMONT",33130,"BEGLES"
76,,"RUE","DES MENUTS",33000,"BORDEAUX"
186,,"RUE","EMILE COMBES",33000,"BORDEAUX"
24,,"RUE","GOUAIS LANOS",33000,"BORDEAUX"
44,,"RUE","LABIRAT",33000,"BORDEAUX"
12,,"RUE","DES RESEDAS",33600,"PESSAC"
3,,"RUE","MARYSE BASTIE",33700,"MERIGNAC"
106,,"RUE","FERDINAND BUISSON",33130,"BEGLES"
2,,"RUE","PHILIPPE DESTRIBATS",33140,"VILLENAVE D ORNON"
40,,"RUE","FONTENELLE",33140,"VILLENAVE D ORNON"
45,,"AV","COL PIERRE BOURGOIN",33127,"MARTIGNAS SUR JALLE"
2,,"RUE","BUHAN",33000,"BORDEAUX"
9,,"ALL","DES TULIPES",33600,"PESSAC"
10,,"AV","DANIELLE MITTERRAND",33130,"BEGLES"
5,,"RTE","DE LEOGNAN",33140,"VILLENAVE D ORNON"
5,,"RUE","DU LEVANT",33140,"VILLENAVE D ORNON"
20,,"ALL","DU HAUT VIGNEAU",33170,"GRADIGNAN"
63,,"RUE","DU COMMANDANT ARNOULD",33000,"BORDEAUX"
19,,"RUE","DUFFOUR DUBERGIER",33000,"BORDEAUX"
97,,"RUE","MATHIEU",33000,"BORDEAUX"
9002,,"RES","LES TOURS DE NAUDET",33170,"GRADIGNAN"
120,,"AV","DE LA LIBERATION",33700,"MERIGNAC"
4,,"RUE","DU PROFESSEUR VILLEMIN",33170,"GRADIGNAN"
17,,"RUE","DES VIGNOBLES",33700,"MERIGNAC"
44,,"RUE","JOSEPH ABRIA",33000,"BORDEAUX"
8,,"RUE","MONADEY",33800,"BORDEAUX"
20,,"RUE","DES VIOLETTES",33700,"MERIGNAC"
3,,"RUE","ALEXANDER FLEMING",33127,"MARTIGNAS SUR JALLE"
116,,"RUE","DE BELFORT",33000,"BORDEAUX"
26,,"RTE","DE TOULOUSE",33800,"BORDEAUX"
10,,"AV","DANIELLE MITTERRAND",33130,"BEGLES"
4,,"CHE","DE LA LANDETTE",33170,"GRADIGNAN"
11,,"ALL","DES TULIPES",33600,"PESSAC"
5,,"RUE","FENELON",33400,"TALENCE"
2,,"RUE","DU PROFESSEUR VILLEMIN",33170,"GRADIGNAN"
9001,,"RES","LA COUR CARREE",33600,"PESSAC"
38,,"RUE","ARMAND LEROI",33400,"TALENCE"
4,,"RUE","JANE GOODALL",33130,"BEGLES"
2,,"RUE","CLAUDE KOGAN",33700,"MERIGNAC"
9001,,"RES","PAUL ELUARD",33130,"BEGLES"
11,,"ALL","DES TULIPES",33600,"PESSAC"
4,,"SQ","DES BOSQUETS",33700,"MERIGNAC"
11,,"ALL","DES TULIPES",33600,"PESSAC"
8,,"RUE","SAINT JAMES",33000,"BORDEAUX"
5,,"ALL","PHILIPPE DE CHAMPAIGNE",33700,"MERIGNAC"
48,,,"MISSION HAUT BRION",33400,"TALENCE"
10,,"AV","DU PONTET",33600,"PESSAC"
97,,"CRS","DE L YSER",33800,"BORDEAUX"
27,,"RUE","ST VINCENT DE PAUL",33800,"BORDEAUX"
131,,"BD","PDT FR ROOSEVELT",33400,"TALENCE"
9,,"QUAI","DE LA MONNAIE",33800,"BORDEAUX"
54,,"CRS","PASTEUR",33000,"BORDEAUX"
26,,"RUE","BERGERET",33000,"BORDEAUX"
23,,"CRS","PASTEUR",33000,"BORDEAUX"
91,,"RUE","DU TONDU",33000,"BORDEAUX"
40,,"RUE","FONTENELLE",33140,"VILLENAVE D ORNON"
7,,"RUE","DES VIGNOBLES",33700,"MERIGNAC"
14,,"RUE","DES VIOLETTES",33700,"MERIGNAC"
9001,,"RES","RIMBAUD",33400,"TALENCE"
9001,,"RES","SARCIGNAN",33140,"VILLENAVE D ORNON"
9001,,"RES","LES TERRASSES DE TALENCE",33400,"TALENCE"
9001,,"RES","PAUL ELUARD",33130,"BEGLES"
28,,"RUE","GUILLAUME LEBLANC",33000,"BORDEAUX"
2,,"RUE","DE CHARLIN",33700,"MERIGNAC"
2,,"IMP","ARCHAMBAUD",33400,"TALENCE"
46,,"RUE","DU MIRAIL",33000,"BORDEAUX"
232,,"RUE","DE SUZON",33400,"TALENCE"
13,,"RUE","PIERRE LOTI",33800,"BORDEAUX"
1,,"RUE","DES VIGNOBLES",33700,"MERIGNAC"
62,,"CITE","DESPUJOLS",33000,"BORDEAUX"
43,,"RUE","PAUL LOUIS LANDE",33000,"BORDEAUX"
18,,"RUE","DE GUIRAUTON",33700,"MERIGNAC"
28,,"RUE","DU RELAIS",33600,"PESSAC"
16,,"RUE","DU RELAIS",33600,"PESSAC"
6,,"RUE","JEAN ZUBIETA",33400,"TALENCE"
,,"RUE","DES BATELEURS",33127,"MARTIGNAS SUR JALLE"
127,,"AV","ARISTIDE BRIAND",33700,"MERIGNAC"
2,,"PL","ANDRE MEUNIER DIT MUREINE",33800,"BORDEAUX"
79,,"RUE","DE TAUZIA",33800,"BORDEAUX"
10,,"ALL","LEON BOURGEOIS",33127,"SAINT JEAN D ILLAC"
167,,"RUE","MOUNEYRA",33000,"BORDEAUX"
28,,"IMP","POITEVINE",33000,"BORDEAUX"
6,,"RUE","MOULINIE",33000,"BORDEAUX"
43,,"RUE","DU SERPORAT",33800,"BORDEAUX"
37,,"RUE","DES AYRES",33000,"BORDEAUX"
86,,"RUE","MATHIEU",33000,"BORDEAUX"
14,,"RUE","RICHARD WAGNER",33700,"MERIGNAC"
6,,"ALL","CHATEAU DU BOURGAILH",33600,"PESSAC"
140,,"RUE","PAUL DOUMER",33700,"MERIGNAC"
174,,"CRS","DE L YSER",33800,"BORDEAUX"
5,,"RUE","FENELON",33400,"TALENCE"
18,,"RUE","DE GUIRAUTON",33700,"MERIGNAC"
2,,"RUE","GUTENBERG",33130,"BEGLES"
20,,"RUE","DES CEPAGES",33700,"MERIGNAC"
16,"B","RUE","BERTHELOT",33130,"BEGLES"
79,,"RUE","DES AYRES",33000,"BORDEAUX"
38,,"RUE","DES AYRES",33000,"BORDEAUX"
13,,"RUE","PIERRE LOTI",33800,"BORDEAUX"
136,,"RUE","LECOCQ",33000,"BORDEAUX"
9001,,"RUE","LOUIS DAVID",33400,"TALENCE"
71,,"CRS","PASTEUR",33000,"BORDEAUX"
39,,"RUE","AUSONE",33000,"BORDEAUX"
209,,"CRS","DE L YSER",33800,"BORDEAUX"
10,,"RUE","DUMONTEIL",33000,"BORDEAUX"
5,,"ALL","ARISTIDE BRIAND",33127,"SAINT JEAN D ILLAC"
197,,"BD","PDT FRANKLIN ROOSEVELT",33800,"BORDEAUX"
2,,"ALL","VERIGNAC",33170,"GRADIGNAN"
1,,"RUE","CARNOT",33400,"TALENCE"
43,,"RUE","LAFONTAINE",33800,"BORDEAUX"
3,,"RUE","DU 19 MARS 1962",33140,"VILLENAVE D ORNON"
690,,"CRS","DE LA LIBERATION",33400,"TALENCE"
60,,"RUE","DE MADRID",33000,"BORDEAUX"
3,,"RUE","DU DOCTEUR ROCAZ",33000,"BORDEAUX"
179,,"RTE","DE CANEJAN",33170,"GRADIGNAN"
127,,"RUE","LOUIS ROCHEMOND",33130,"BEGLES"
13,,"CRS","DU GENERAL DE GAULLE",33170,"GRADIGNAN"
208,,"CRS","DE LA MARNE",33800,"BORDEAUX"
24,,"RUE","HECTOR BERLIOZ",33130,"BEGLES"
8,,"ALL","GEORGES DUMOULIN",33700,"MERIGNAC"
42,,"RUE","BERGERET",33000,"BORDEAUX"
144,,"CRS","DE LA MARNE",33800,"BORDEAUX"
212,,"ALL","ALBERT SCHWEITZER",33127,"SAINT JEAN D ILLAC"
8,,"ALL","DES TERRES NEUVES",33130,"BEGLES"
125,,"AV","DES EYQUEMS",33700,"MERIGNAC"
20,,"RUE","DU TONDU",33000,"BORDEAUX"
2,,"ALL","DES IRIS",33140,"VILLENAVE D ORNON"
145,,"RUE","SAINTE CATHERINE",33000,"BORDEAUX"
210,,"CRS","DE LA MARNE",33800,"BORDEAUX"
5,,"RUE","DES OLYMPIADES",33700,"MERIGNAC"
32,,"RUE","DU GENERAL CREMER",33130,"BEGLES"
50,,"AV","DES EYQUEMS",33700,"MERIGNAC"
126,,"RUE","DUBOURDIEU",33800,"BORDEAUX"
16,,"RUE","HENRI SAUGUET",33700,"MERIGNAC"
2,,"CHE","DES FOINS",33140,"VILLENAVE D ORNON"
1,,"ALL","DES CONVIVIALES",33700,"MERIGNAC"
111,,"RUE","PAUL DOUMER",33700,"MERIGNAC"
15,,"AV","DE BELLE FRANCE",33700,"MERIGNAC"
332,,"CRS","DE LA LIBERATION",33400,"TALENCE"
484,,"AV","DE VERDUN",33700,"MERIGNAC"
25,"B","RUE","DES AS",33600,"PESSAC"
12,,"RUE","SAINT ELOI",33000,"BORDEAUX"
31,,"RUE","BREMONTIER",33800,"BORDEAUX"
9001,,"RES","CRESPY II",33400,"TALENCE"
134,,"CRS","DE L YSER",33800,"BORDEAUX"
46,,"CRS","ARISTIDE BRIAND",33000,"BORDEAUX"
,,"RUE","DES BATELEURS",33127,"MARTIGNAS SUR JALLE"
10,,"RUE","VAUQUELIN",33800,"BORDEAUX"
10,,"ALL","DE FRANCS",33130,"BEGLES"
8,,"RUE","DONISSAN",33000,"BORDEAUX"
690,,"CRS","DE LA LIBERATION",33400,"TALENCE"
1,,"ALL","JOSEPH WRESINSKI",33130,"BEGLES"
61,,"RUE","BOURBAKI",33400,"TALENCE"
32,,"RUE","DES BOUVIERS",33800,"BORDEAUX"
4,,"RUE","DES FRERES ROUYERE",33600,"PESSAC"
11,,"RUE","JULIEN GRACQ",33130,"BEGLES"
265,,"RUE","SAINTE CATHERINE",33000,"BORDEAUX"
46,,"RES","LE HAMEAU PIERRE FABRE",33410,"CADILLAC"
10,,"RUE","MONTESQUIEU",33380,"BIGANOS"
24,,"AV","REGNAULD",33120,"ARCACHON"
14,,"RUE","ANDRE MALRAUX",33560,"CARBON BLANC"
267,,"RUE","TRUCHON",33140,"CADAUJAC"
2,,"RUE","GUSTAVE LOUDE",33260,"LA TESTE-DE-BUCH"
51,6,"ALL","DE CAZAUX",33470,"GUJAN MESTRAS"
15,,"RUE","DU DOC SCHWEITZER",33150,"CENON"
4,,"RUE","DES CHENES",33270,"FLOIRAC"
14,,"ALL","DOC FERNAND LALESQUE",33120,"ARCACHON"
6,"B","RTE","DE LA GARONNE",33210,"TOULENNE"
230,,"BD","DE LA REPUBLIQUE",33510,"ANDERNOS-LES-BAINS"
6,,"AV","DU PARC",33120,"ARCACHON"
29,"B","RUE","GASTON DEFERRE",33150,"CENON"
13,,"RUE","ARISTIDE BRIAND",33150,"CENON"
73,,"ALL","JEAN GIONO",33100,"BORDEAUX"
20,,"RUE","HIPPOLYTE GOURDON",33310,"LORMONT"
51,,"RUE","MAURICE UTRILLO",33370,"ARTIGUES-PRES-BORDEAUX"
247,,"BD","DE LA COTE D'ARGENT",33120,"ARCACHON"
28,,"ALL","DE BOURDETTE",33550,"PAILLET"
18,,"ALL","DES GRIVES",33270,"FLOIRAC"
25,,"RUE","DE NUITS",33100,"BORDEAUX"
106,,"AV","DE LA VIGNE CAP FERRET",33970,"LEGE-CAP-FERRET"
5,,"RUE","RENE DAURIAC",33470,"LE TEICH"
28,,"AV","GAMBETTA",33120,"ARCACHON"
6101,,,"LE BOURG NORD",33450,"ST SULPICE ET CAMEYRAC"
6101,,,"LE BOURG NORD",33450,"ST SULPICE ET CAMEYRAC"
3,,"ALL","MAURICE LAFON",33380,"BIGANOS"
61,"B","AV","DES COLONIES",33510,"ANDERNOS-LES-BAINS"
175,,"BD","DE LA PLAGE",33120,"ARCACHON"
9,,"ALL","DU COTTAGE",33970,"LEGE-CAP-FERRET"
9,,"CRS","LAMARQUE DE PLAISANCE",33120,"ARCACHON"
5000,,"PARC","DE LA VERRERIE",33670,"CREON"
20,,,"CHATEAU DE SALLES",33770,"SALLES"
5,,"RUE","EUGENE DELACROIX",33150,"CENON"
230,,"BD","DE LA REPUBLIQUE",33510,"ANDERNOS-LES-BAINS"
3,,"PL","ALEXANDER FLEMING",33120,"ARCACHON"
12,,"RUE","DES DUBROCS",33120,"ARCACHON"
9055,,"AV","DE LA VIGNE CAP FERRET",33970,"LEGE-CAP-FERRET"
106,,"AV","DE LA VIGNE CAP FERRET",33970,"LEGE-CAP-FERRET"
67,,"AV","DES TROIS LIEUES",33370,"TRESSES"
57,,"RUE","DUCHENNE",33120,"ARCACHON"
50,,"BD","DE LA PLAGE",33510,"ANDERNOS-LES-BAINS"
15,,"RUE","DES GOELANDS CAP FERRET",33970,"LEGE-CAP-FERRET"
18,,"RUE","DES FRAISIERS",33240,"SAINT GERVAIS"
236,,"AV","THIERS",33100,"BORDEAUX"
5000,,"PARC","DE LA VERRERIE",33670,"CREON"
20,,"RUE","DE L AIGUILLON",33260,"LA TESTE-DE-BUCH"
2,,"PL","LOUIS DAVID",33510,"ANDERNOS-LES-BAINS"
12,,"RUE","PIERRE PAUILHAC",33740,"ARES"
9000,,"RES","SAINT HILAIRE",33370,"FARGUES SAINT HILAIRE"
72,,"AV","AUSTIN CONTE",33560,"CARBON BLANC"
9000,,,"RESIDENCE VOLUTIS",33210,"LANGON"
24,,"RUE","MONTMEJEAN",33100,"BORDEAUX"
57,"T","AV","DE TECHENEY",33370,"ARTIGUES-PRES-BORDEAUX"
21,,"IMP","DU COMMANDANT COUSTEAU",33310,"LORMONT"
3,,"CRS","MAL DE LATTRE DE TASSIGNY",33850,"LEOGNAN"
13,,"AV","DES HUTTIERS",33260,"LA TESTE-DE-BUCH"
50,,"AV","RENE CASSAGNE",33150,"CENON"
24,,"RUE","RACINE",33560,"CARBON BLANC"
79,,"BD","DE LA PLAGE",33120,"ARCACHON"
60,,"RUE","MAURICE UTRILLO",33370,"ARTIGUES-PRES-BORDEAUX"
17,"C","RUE","ST ELME",33120,"ARCACHON"
2,"B","RUE","HELENE BOUCHER",33850,"LEOGNAN"
15,,"RUE","HIPPOLYTE GOURDON",33310,"LORMONT"
41,,"RUE","DES FLANDRES",33510,"ANDERNOS-LES-BAINS"
47,"T","AV","AUSTIN CONTE",33560,"CARBON BLANC"
46,,"AV","DE LA MAIRIE",33950,"LEGE-CAP-FERRET"
10,,"RUE","MONTESQUIEU",33380,"BIGANOS"
9002,,,"LE LAPIN",33210,"PREIGNAC"
75,,"BD","DE L OCEAN",33120,"ARCACHON"
15,,"RUE","JEHENNE",33120,"ARCACHON"
37,,"AV","GENERAL DE GAULLE",33120,"ARCACHON"
23,"C","ALL","DE LA NEYRA",33470,"GUJAN MESTRAS"
9,,"ALL","JEAN BALDE",33120,"ARCACHON"
9001,,"RES","ALIENOR D AQUITAINE",33310,"LORMONT"
9001,,"RUE","DES LILAS",33440,"ST LOUIS DE MONTFERRAND"
59,,"BD","DE L AERIUM",33740,"ARES"
41,,"AV","EST CAP FERRET",33970,"LEGE-CAP-FERRET"
2,"B","LOT","LES ALLEES FORESTIERES",33950,"LEGE-CAP-FERRET"
24,,"RUE","GEORGES JEROME DURET",33310,"LORMONT"
4,,"RUE","ARMAND DANEY",33470,"GUJAN MESTRAS"
52,,"AV","THIERS",33100,"BORDEAUX"
4,,"RUE","PIERRE CURIE",33150,"CENON"
4,,"ALL","GABRIEL FAURE",33380,"BIGANOS"
9001,,"RUE","DES GRAVIERES",33310,"LORMONT"
1,,"AV","DU PORT",33740,"ARES"
33,,"BD","MARECHAL LECLERC",33120,"ARCACHON"
3,,"CHE","DE L ESTEY",33360,"LATRESNE"
17,,"IMP","DU CANELON",33740,"ARES"
30,,"RUE","ARISTIDE BRIAND",33150,"CENON"
9002,,"RUE","VICTOR HAMM",33980,"AUDENGE"
11,,"RUE","DU ONZE NOVEMBRE 1918",33150,"CENON"
,,,"LE BOURG",33550,"HAUX"
9,,"RUE","DU HUIT MAI 1945",33150,"CENON"
22,,"RUE","PASTEUR",33440,"AMBARES-ET-LAGRAVE"
34,,"AV","DE LAMARTINE",33120,"ARCACHON"
54,,"BD","DE LA PLAGE",33510,"ANDERNOS-LES-BAINS"
9001,,"RES","LA BACHELLERIE",33310,"LORMONT"
1,,,"CHATEAU DE SALLES",33770,"SALLES"
3,,"RUE","HENRY MATISSE",33270,"FLOIRAC"
17,,"AV","NOTRE DAME DES PASSES",33120,"ARCACHON"
5,,"RUE","DU COMMANDANT COUSTEAU",33310,"LORMONT"
267,,"RUE","TRUCHON",33140,"CADAUJAC"
3,,"RUE","DE L'ARBRE D'OR",33980,"AUDENGE"
35,,"CHE","DU PETIT MAITRE",33880,"ST CAPRAIS DE BORDEAUX"
27,,"CITE","LE PARADIS",33740,"ARES"
35,,"RTE","DE LA CARASSE",33950,"LEGE-CAP-FERRET"
2,,"RUE","DES PROMENADES",33140,"CADAUJAC"
9004,,"RUE","JEAN ZAY",33310,"LORMONT"
54,,"CRS","DE VERDUN",33470,"GUJAN MESTRAS"
4,,"RUE","PAUL GROS",33270,"FLOIRAC"
75,,"BD","DE LA PLAGE",33120,"ARCACHON"
9001,,"RES","LA BACHELLERIE",33310,"LORMONT"
135,,"RUE","GEORGES CLEMENCEAU",33380,"BIGANOS"
19,,"RUE","DES PLAINES",33470,"LE TEICH"
17,,"RUE","DU CHATEAU",33770,"SALLES"
34,,"HAM","DE LA CLAIRIERE",33440,"AMBARES-ET-LAGRAVE"
8,,"AV","MAL DE LATTRE DE TASSIGNY",33470,"GUJAN MESTRAS"
8,,"AV","MAL DE LATTRE DE TASSIGNY",33470,"GUJAN MESTRAS"
141,,"RUE","AIME BROUSTAUT",33470,"GUJAN MESTRAS"
1,,"RUE","ARMAND DANEY",33470,"GUJAN MESTRAS"
156,,,"BELLEGARDE",33370,"FARGUES SAINT HILAIRE"
9001,,"RUE","DES TILLEULS",33470,"LE TEICH"
23,,"AV","DE LA REPUBLIQUE",33138,"LANTON"
19,,,"LE CLOS DES VIGNES",33720,"BARSAC"
17,,"RUE","DU PORT",33260,"LA TESTE-DE-BUCH"
19,,"RUE","DE CASTOR",33114,"LE BARP"
206,,"BD","DE LA PLAGE",33120,"ARCACHON"
15,,"ALL","LAMARTINE",33510,"ANDERNOS-LES-BAINS"
2,,"RUE","LAFAYETTE",33530,"BASSENS"
32,,"RUE","DU PORT",33470,"LE TEICH"
6,,"AV","DE BORDEAUX",33510,"ANDERNOS-LES-BAINS"
149,"B","AV","DE LA LIBERATION",33380,"BIGANOS"
66,,"AV","DE BORDEAUX",33510,"ANDERNOS-LES-BAINS"
24,,"RUE","RACINE",33560,"CARBON BLANC"
12,,"AV","DU GEN DE GAULLE",33550,"LANGOIRAN"
26,,"AV","DES ROUGES GORGES",33740,"ARES"
11,,"RUE","HAUTEBELLE",33740,"ARES"
47,,"BD","CHANZY",33120,"ARCACHON"
3,,"ALL","MAURICE LAFON",33380,"BIGANOS"
43,,"RUE","DU DOCTEUR BEZIAN",33470,"GUJAN MESTRAS"
9000,,"CHE","DES PLATEAUX",33270,"FLOIRAC"
12,"B","AV","DE PLAISANCE",33370,"YVRAC"
46,,"RUE","TRANCHERE",33100,"BORDEAUX"
159,,"RUE","LAROCHE",33140,"CADAUJAC"
9000,,,"RESIDENCE VOLUTIS",33210,"LANGON"
1,,"RUE","THIERS",33980,"AUDENGE"
47,"T","AV","AUSTIN CONTE",33560,"CARBON BLANC"
7,,"RUE","DU GENERAL DE GAULLE",33270,"FLOIRAC"
101,,"AV","DE LA GARONNE",33440,"ST LOUIS DE MONTFERRAND"
8,,"RUE","GUSTAVE HAMEAU",33120,"ARCACHON"
9001,,"RES","LA BACHELLERIE",33310,"LORMONT"
2,,"RUE","CAMILLE DIGNAC",33470,"GUJAN MESTRAS"
1,,"RUE","THIERS",33980,"AUDENGE"
3,"B","AV","GAMBETTA",33120,"ARCACHON"
20,,"IMP","DE MOUTCHALETTE",33740,"ARES"
13,,"IMP","DU COMMANDANT COUSTEAU",33310,"LORMONT"
15,,"RES","LE HAMEAU PIERRE FABRE",33410,"CADILLAC"
59,,"BD","DE LA PLAGE CAP FERRET",33970,"LEGE-CAP-FERRET"
21,,"RTE","DU BOURDIEU",33450,"MONTUSSAN"
13,,"CRS","DU MAL FOCH",33430,"BAZAS"
9012,,"AV","DU SEMAPHORE CAP FERRET",33970,"LEGE-CAP-FERRET"
15,,"RUE","DANIEL FOURNIER",33240,"SAINT-ANDRE-DE-CUBZAC"
46,,"RUE","DU GEN DE GAULLE",33740,"ARES"
44,,"AV","DE LA COTE D ARGENT",33470,"LE TEICH"
28,"B","AV","DE BRANNE",33360,"CARIGNAN-DE-BORDEAUX"
9057,,"HAM","DE BOURBON",33270,"FLOIRAC"
24,,"RUE","RACINE",33560,"CARBON BLANC"
24,,"RUE","RACINE",33560,"CARBON BLANC"
20,,"RUE","PASTEUR",33440,"AMBARES-ET-LAGRAVE"
8,,"RUE","TAFFARD",33120,"ARCACHON"
40,,"AV","DES PYRENEES",33114,"LE BARP"
372,,"AV","THIERS",33100,"BORDEAUX"
10,,"RUE","FEAUGAS",33100,"BORDEAUX"
