"SurfaceCarrezLot1","SurfaceCarrezLot2","SurfaceCarrezLot3","SurfaceCarrezLot4","SurfaceCarrezLot5","NombreDeLot","SurfaceReelleBati","NombrePiecesPrincipale","SurfaceTerrain","TypeDeLocal","NatureCulture","NatureCultureSpeciale"
70.15,,,,,2,69,3,,"Appartement",,
57.23,,,,,1,56,2,,"Appartement",,
132.16,,,,,1,131,5,,"Appartement",,
58.62,,,,,1,63,2,,"Appartement",,
61.89,,,,,1,60,3,,"Appartement",,
92.45,,,,,1,105,3,,"Appartement",,
71.29,,,,,2,71,3,,"Appartement",,
138.05,,,,,1,101,5,,"Maison",,
45.12,,,,,2,30,1,,"Appartement",,
70.45,,,,,1,75,3,,"Appartement",,
78.54,,,,,1,77,4,,"Appartement",,
52.58,,,,,1,58,2,,"Appartement",,
30.98,,,,,2,22,2,,"Appartement",,
95.66,,,,,2,106,5,,"Appartement",,
87.23,,,,,1,87,4,,"Appartement",,
92.47,,,,,1,92,5,,"Appartement",,
89.2,,,,,2,89,5,,"Appartement",,
28.8,,,,,2,40,1,,"Appartement",,
46.68,,,,,1,46,2,,"Appartement",,
2.36,,,,,1,2,0,,"Appartement",,
68.92,,,,,1,68,3,,"Appartement",,
68.45,,,,,2,68,3,,"Appartement",,
102.52,,,,,1,103,4,,"Maison",,
59.67,,,,,2,59,2,,"Appartement",,
77.86,,,,,2,77,4,,"Appartement",,
105.12,,,,,3,106,4,,"Maison",,
63.27,,,,,3,63,3,,"Appartement",,
133.24,,,,,1,133,4,,"Appartement",,
67.33,,,,,1,63,3,,"Appartement",,
68.69,,,,,2,65,3,,"Appartement",,
58.3,,,,,1,59,2,,"Appartement",,
111.06,,,,,1,112,5,,"Appartement",,
117.63,,,,,1,117,5,,"Appartement",,
85.12,,,,,1,82,4,,"Appartement",,
42.01,,,,,1,42,2,,"Appartement",,
96.46,,,,,1,96,5,,"Maison",,
57.5,,,,,3,58,3,,"Appartement",,
90.4,,,,,2,90,4,,"Appartement",,
42.59,,,,,2,42,2,,"Appartement",,
50.11,,,,,1,35,1,,"Appartement",,
32.6,,,,,1,33,2,,"Appartement",,
103.62,,,,,1,88,4,,"Maison",,
135.89,,,,,1,60,2,,"Appartement",,
166.98,,,,,1,166,5,,"Appartement",,
58.13,,,,,1,65,2,,"Appartement",,
38.67,,,,,1,39,2,,"Appartement",,
120.5,,,,,1,110,5,,"Maison",,
86.8,,,,,1,90,3,,"Appartement",,
41.82,,,,,1,47,1,,"Appartement",,
56.63,,,,,1,56,2,,"Appartement",,
79.06,,,,,1,77,3,,"Appartement",,
65.82,,,,,1,65,3,,"Appartement",,
38.43,,,,,1,44,3,,"Appartement",,
85.95,,,,,1,85,4,,"Appartement",,
48.42,,,,,1,48,2,,"Appartement",,
80.87,,,,,1,82,4,,"Maison",,
165.11,,,,,4,156,6,,"Appartement",,
71.5,,,,,1,72,4,,"Appartement",,
82.54,,,,,1,82,3,,"Appartement",,
39.97,,,,,3,41,2,,"Appartement",,
146.68,,,,,1,158,4,,"Appartement",,
31.6,,,,,1,40,2,,"Appartement",,
92,,,,,1,80,4,213,"Maison","S",
73.5,,,,,1,65,3,,"Appartement",,
23.82,,,,,2,30,1,,"Appartement",,
37.3,,,,,1,40,2,,"Appartement",,
49.1,,,,,1,53,2,,"Appartement",,
30.94,,,,,1,31,1,,"Appartement",,
65.66,,,,,1,67,3,,"Maison",,
27.19,,,,,1,27,1,,"Appartement",,
46.92,,,,,1,53,2,,"Appartement",,
78.3,,,,,1,82,4,,"Maison",,
88.5,,,,,1,90,5,,"Appartement",,
24.05,,,,,1,27,1,,"Appartement",,
92.54,,,,,1,92,4,,"Maison",,
60.05,,,,,1,62,3,,"Appartement",,
89,,,,,1,90,5,,"Appartement",,
23.86,,,,,1,27,1,,"Appartement",,
