"SurfaceCarrezLot1","SurfaceCarrezLot2","SurfaceCarrezLot3","SurfaceCarrezLot4","SurfaceCarrezLot5","NombreDeLot","SurfaceReelleBati","NombrePiecesPrincipale","SurfaceTerrain","TypeDeLocal","NatureCulture","NatureCultureSpeciale"
2,,,,,2,45,2,,"Appartement",,
72.19,,,,,2,66,4,,"Appartement",,
69.15,,,,,1,69,3,,"Appartement",,
28.58,,,,,2,30,1,,"Appartement",,
27.12,,,,,1,30,2,,"Appartement",,
44.75,,,,,1,34,1,,"Appartement",,
19.1,,,,,1,19,2,,"Appartement",,
28.92,,,,,2,29,1,,"Appartement",,
82.8,,,,,1,54,2,,"Appartement",,
115.45,,,,,4,93,4,,"Appartement",,
86.15,,,,,1,83,4,,"Maison",,
54.45,,,,,2,56,3,,"Appartement",,
24.25,,,,,1,24,2,,"Appartement",,
63,,,,,1,70,3,,"Appartement",,
33.07,,,,,2,33,1,,"Appartement",,
52,,,,,1,52,2,,"Appartement",,
56.3,,,,,1,57,3,,"Appartement",,
25.15,,,,,1,45,2,,"Appartement",,
28.01,,,,,1,28,2,,"Appartement",,
63.14,,,,,1,55,3,,"Appartement",,
95.23,,,,,1,71,4,287,"Maison","S",
25.72,,,,,1,25,1,,"Appartement",,
55.78,,,,,1,55,3,,"Appartement",,
22.48,,,,,1,23,2,,"Appartement",,
29.9,,,,,1,31,1,,"Appartement",,
27.25,,,,,1,34,1,,"Appartement",,
56.43,,,,,1,60,3,,"Appartement",,
68.25,,,,,1,67,3,,"Appartement",,
182.54,,,,,1,194,4,,"Appartement",,
63.88,,,,,1,64,3,,"Appartement",,
69.81,,,,,3,75,4,,"Appartement",,
88.13,,,,,1,88,4,,"Maison",,
53.52,,,,,2,54,3,,"Appartement",,
52.38,,,,,1,52,2,,"Appartement",,
20.78,,,,,1,21,1,,"Appartement",,
46.9,,,,,2,46,2,,"Appartement",,
56.68,,,,,2,56,3,,"Appartement",,
136.31,,,,,1,140,8,,"Maison",,
76.42,,,,,1,76,3,,"Appartement",,
28.52,,,,,2,29,1,,"Appartement",,
24.32,,,,,1,24,1,,"Appartement",,
27.91,,,,,2,30,1,,"Appartement",,
46.6,,,,,1,50,3,,"Appartement",,
30.91,,,,,1,23,2,,"Appartement",,
24.73,,,,,1,24,2,,"Appartement",,
63.01,,,,,2,64,4,,"Appartement",,
107.6,,,,,1,87,4,,"Maison",,
21.9,,,,,1,25,1,,"Appartement",,
49.64,,,,,1,40,2,,"Appartement",,
34.62,,,,,1,34,1,,"Appartement",,
43.53,,,,,1,44,1,,"Appartement",,
74.03,,,,,1,74,3,,"Appartement",,
35.55,,,,,1,35,2,,"Appartement",,
97.44,,,,,1,100,4,,"Maison",,
42.98,,,,,1,43,2,,"Appartement",,
26.09,,,,,1,26,1,,"Appartement",,
74.44,,,,,1,74,4,,"Appartement",,
76.22,,,,,1,76,4,,"Appartement",,
68.36,,,,,2,72,4,,"Appartement",,
67.7,,,,,1,68,3,,"Appartement",,
95.87,,,,,1,95,4,,"Maison",,
72.11,,,,,1,71,4,,"Maison",,
61.92,,,,,2,61,3,,"Appartement",,
67.73,,,,,1,68,3,,"Appartement",,
59.42,,,,,1,70,1,,"Appartement",,
75.15,,,,,1,69,3,,"Appartement",,
71.55,,,,,1,71,4,,"Maison",,
31.24,,,,,1,31,2,,"Appartement",,
69.69,,,,,1,63,5,,"Appartement",,
35.54,,,,,1,40,1,,"Appartement",,
58.13,,,,,1,57,3,,"Appartement",,
60.12,,,,,1,69,2,,"Appartement",,
87.95,,,,,2,118,4,,"Appartement",,
54.55,,,,,1,55,1,,"Appartement",,
90.59,,,,,2,88,3,,"Appartement",,
38.17,,,,,1,38,2,,"Appartement",,
77.2,,,,,2,97,2,,"Appartement",,
110.34,,,,,1,92,3,,"Appartement",,
46.78,,,,,1,46,3,,"Appartement",,
85.17,,,,,2,76,4,,"Appartement",,
109,,,,,1,118,4,,"Appartement",,
94.43,,,,,1,93,2,,"Maison",,
75.48,,,,,1,75,4,,"Appartement",,
350,,,,,1,40,2,,"Appartement",,
38.85,,,,,1,53,2,,"Appartement",,
60.65,,,,,1,62,3,,"Appartement",,
101,,,,,1,100,4,,"Maison",,
104.38,,,,,1,106,4,,"Appartement",,
23.57,,,,,1,23,2,,"Appartement",,
118.6,,,,,3,116,4,,"Appartement",,
71.48,,,,,1,70,1,,"Appartement",,
21.15,,,,,1,21,1,,"Appartement",,
64,,,,,2,70,4,,"Appartement",,
97.41,,,,,2,101,5,,"Maison",,
33.44,,,,,3,33,1,,"Appartement",,
103.92,,,,,1,102,5,,"Appartement",,
83.98,,,,,1,90,3,,"Appartement",,
39,,,,,1,39,2,,"Appartement",,
36,,,,,1,38,2,,"Appartement",,
109,,,,,4,103,5,,"Appartement",,
47.8,,,,,1,48,2,,"Appartement",,
27.35,,,,,1,27,1,,"Appartement",,
73.5,,,,,2,69,3,,"Appartement",,
19,,,,,5,50,3,,"Appartement",,
69.2,,,,,1,75,3,,"Appartement",,
52.58,,,,,1,56,2,,"Appartement",,
40.03,,,,,2,47,2,,"Appartement",,
21.38,,,,,2,23,1,,"Appartement",,
84.38,,,,,3,78,3,,"Appartement",,
8.2,,,,,2,64,1,,"Appartement",,
17.82,,,,,1,18,1,,"Appartement",,
509.85,,,,,1,19,1,,"Appartement",,
23.55,,,,,1,23,2,,"Appartement",,
128.31,,,,,3,120,4,,"Appartement",,
77.8,,,,,2,77,3,,"Appartement",,
22.29,,,,,1,22,1,,"Appartement",,
81.7,,,,,3,82,4,,"Appartement",,
28.08,,,,,3,55,2,,"Appartement",,
69.57,,,,,6,124,5,,"Appartement",,
60.79,,,,,3,63,3,,"Appartement",,
118.03,,,,,7,82,3,,"Appartement",,
39.32,,,,,1,45,2,,"Appartement",,
73.84,,,,,2,60,4,,"Appartement",,
24.2,,,,,1,24,2,,"Appartement",,
26.5,,,,,1,28,1,,"Appartement",,
35.6,,,,,1,38,1,,"Appartement",,
44.8,,,,,2,46,2,,"Appartement",,
90.81,,,,,2,87,5,,"Appartement",,
36.76,,,,,1,39,1,,"Appartement",,
14.69,,,,,1,16,1,,"Appartement",,
55,,,,,1,60,3,,"Appartement",,
59.14,,,,,2,40,1,,"Appartement",,
3,,,,,2,94,3,,"Appartement",,
107.95,,,,,1,93,6,,"Maison",,
28.6,,,,,1,28,3,,"Appartement",,
57.1,,,,,1,50,2,,"Appartement",,
68.68,,,,,3,69,3,,"Appartement",,
57.56,,,,,1,46,1,,"Appartement",,
37.8,,,,,1,38,1,,"Appartement",,
78.58,,,,,1,88,3,,"Appartement",,
55.84,,,,,2,56,3,,"Appartement",,
30.44,,,,,1,31,2,,"Appartement",,
106,,,,,1,92,4,,"Appartement",,
47.28,,,,,2,48,2,,"Appartement",,
48.22,,,,,1,47,2,,"Appartement",,
48.06,,,,,2,43,3,,"Appartement",,
100.94,,,,,1,73,3,,"Appartement",,
62.5,,,,,2,63,3,,"Appartement",,
52.88,,,,,1,52,2,,"Appartement",,
83.1,,,,,3,84,4,,"Appartement",,
48.23,,,,,1,53,3,,"Maison",,
18.63,,,,,1,19,1,,"Appartement",,
61.93,,,,,3,64,3,,"Appartement",,
74.39,,,,,3,74,4,,"Maison",,
45.94,,,,,1,46,2,,"Appartement",,
35.66,,,,,1,36,3,,"Appartement",,
52.88,,,,,1,50,2,,"Appartement",,
25.53,,,,,1,25,1,,"Appartement",,
94,,,,,1,120,4,,"Appartement",,
42,,,,,1,42,2,,"Appartement",,
85.32,,,,,1,78,4,,"Appartement",,
91.43,,,,,2,90,4,,"Appartement",,
53.22,,,,,1,50,3,,"Maison",,
67.44,,,,,1,140,8,,"Maison",,
82.35,,,,,1,47,3,,"Maison",,
88.8,,,,,1,98,4,,"Maison",,
43.61,,,,,1,44,2,,"Appartement",,
77.43,,,,,1,81,4,,"Maison",,
41.41,,,,,1,42,2,,"Appartement",,
60.65,,,,,2,63,3,,"Appartement",,
21.39,,,,,1,21,1,,"Appartement",,
41.33,,,,,1,40,3,,"Appartement",,
29.78,,,,,1,25,1,,"Maison",,
43.9,,,,,3,47,2,,"Appartement",,
75.44,,,,,2,88,4,,"Appartement",,
47.14,,,,,1,47,2,,"Appartement",,
67.08,,,,,2,68,3,,"Appartement",,
25.16,,,,,1,25,1,,"Appartement",,
49.91,,,,,1,48,2,,"Appartement",,
23.53,,,,,2,24,1,,"Appartement",,
36.7,,,,,1,37,2,,"Maison",,
36.96,,,,,1,24,1,,"Appartement",,
39.01,,,,,1,39,3,,"Appartement",,
23.58,,,,,1,23,1,,"Appartement",,
63.02,,,,,3,63,3,,"Appartement",,
43.53,,,,,1,44,3,,"Maison",,
47.26,,,,,4,44,2,,"Appartement",,
65.26,,,,,2,65,3,,"Appartement",,
49.22,,,,,1,60,3,,"Appartement",,
82.44,,,,,1,78,4,,"Appartement",,
38.55,,,,,1,42,3,,"Appartement",,
3.3,,,,,1,29,2,,"Appartement",,
68.23,,,,,1,68,4,,"Maison",,
34.17,,,,,1,34,2,,"Appartement",,
20.07,,,,,1,20,1,,"Appartement",,
70.21,,,,,1,81,4,,"Appartement",,
55,,,,,1,48,3,54,"Maison","AG",
88.35,,,,,4,89,4,,"Appartement",,
45.27,,,,,1,48,2,,"Appartement",,
36.7,,,,,1,40,2,,"Appartement",,
91,,,,,1,80,3,,"Appartement",,
18.33,,,,,1,18,1,,"Appartement",,
84.77,,,,,1,51,4,,"Appartement",,
59.34,,,,,2,60,3,,"Appartement",,
38.31,,,,,1,53,2,,"Appartement",,
42.64,,,,,2,42,2,,"Appartement",,
18.84,,,,,1,20,1,,"Appartement",,
61.3,,,,,1,53,2,,"Maison",,
55.46,,,,,1,56,3,,"Appartement",,
25.74,,,,,1,27,1,,"Appartement",,
35.12,,,,,1,26,2,,"Appartement",,
58.26,,,,,3,59,3,,"Appartement",,
34.12,,,,,1,37,1,,"Maison",,
27.54,,,,,1,28,1,,"Appartement",,
47.72,,,,,2,48,2,,"Appartement",,
39.21,,,,,1,41,2,,"Appartement",,
50.7,,,,,1,39,2,,"Appartement",,
23.05,,,,,1,23,1,,"Appartement",,
43.82,,,,,2,44,2,,"Appartement",,
52.71,,,,,2,53,3,,"Appartement",,
63.38,,,,,3,63,3,,"Appartement",,
65.57,,,,,2,64,3,,"Appartement",,
27.01,,,,,1,33,2,,"Maison",,
33.06,,,,,1,31,3,,"Appartement",,
45.82,,,,,2,45,2,,"Appartement",,
51.92,,,,,2,52,2,,"Appartement",,
46.6,,,,,1,46,2,,"Appartement",,
46.05,,,,,2,45,2,,"Appartement",,
81.7,,,,,1,82,4,,"Maison",,
30.58,,,,,2,30,2,,"Appartement",,
62.63,,,,,1,62,3,,"Appartement",,
78.3,,,,,1,79,3,,"Appartement",,
28,,,,,1,25,2,,"Maison",,
85.99,,,,,3,95,5,,"Appartement",,
29.08,,,,,1,29,1,,"Appartement",,
21.88,,,,,1,23,2,,"Appartement",,
79.36,,,,,1,79,4,,"Maison",,
33.46,,,,,3,34,2,,"Appartement",,
49.84,,,,,1,53,2,,"Appartement",,
46.81,,,,,2,47,2,,"Appartement",,
90.99,,,,,1,95,3,,"Appartement",,
23.1,,,,,1,22,1,,"Appartement",,
43.86,,,,,2,44,2,,"Appartement",,
43.12,,,,,1,43,3,38,"Maison","AG",
21.55,,,,,1,19,1,,"Appartement",,
50.06,,,,,1,58,3,,"Appartement",,
145,,,,,1,125,4,,"Appartement",,
131.09,,,,,1,140,4,,"Appartement",,
44.3,,,,,2,44,2,,"Appartement",,
31.52,,,,,1,31,2,,"Appartement",,
47.84,,,,,2,48,2,,"Appartement",,
36.65,,,,,1,37,2,,"Appartement",,
132.45,,,,,1,132,4,,"Maison",,
62.92,,,,,2,64,3,,"Appartement",,
45,,,,,1,46,2,,"Maison",,
46.17,,,,,1,46,2,,"Appartement",,
46.77,,,,,1,45,2,,"Appartement",,
74.1,,,,,1,83,4,,"Appartement",,
71.85,,,,,1,70,4,,"Appartement",,
30.7,,,,,1,60,3,,"Maison",,
22.76,,,,,1,23,1,,"Appartement",,
39.6,,,,,2,39,2,,"Appartement",,
69.05,,,,,1,68,3,,"Appartement",,
59.34,,,,,2,60,2,,"Appartement",,
45.85,,,,,3,46,2,,"Appartement",,
52,,,,,2,52,2,,"Appartement",,
30.78,,,,,2,30,1,,"Appartement",,
20.87,,,,,1,21,2,,"Appartement",,
51.16,,,,,1,51,3,,"Appartement",,
15.07,,,,,1,20,1,,"Appartement",,
51.39,,,,,1,50,2,,"Appartement",,
41.36,,,,,2,41,2,,"Appartement",,
71.56,,,,,3,72,3,,"Appartement",,
36.74,,,,,1,30,1,,"Maison",,
76.87,,,,,1,78,3,,"Appartement",,
38.34,,,,,2,38,2,,"Appartement",,
49.27,,,,,1,50,3,,"Appartement",,
61.12,,,,,3,62,3,,"Appartement",,
54.55,,,,,1,54,2,,"Appartement",,
32.08,,,,,1,34,2,,"Appartement",,
94.26,,,,,1,94,4,,"Appartement",,
48.17,,,,,1,48,2,,"Appartement",,
41.85,,,,,2,40,1,,"Appartement",,
28.81,,,,,2,26,1,,"Appartement",,
30.19,,,,,1,30,2,,"Appartement",,
68.85,,,,,3,70,3,,"Appartement",,
102.83,,,,,2,103,4,,"Appartement",,
25.17,,,,,1,25,3,,"Appartement",,
60.38,,,,,2,60,3,,"Appartement",,
50,,,,,1,40,3,,"Appartement",,
39.09,,,,,1,42,1,,"Appartement",,
37.4,,,,,1,38,2,,"Appartement",,
33.4,,,,,1,33,2,,"Appartement",,
37.69,,,,,1,38,2,,"Appartement",,
40.39,,,,,2,40,2,,"Appartement",,
46.09,,,,,1,64,3,,"Maison",,
35.68,,,,,2,37,2,,"Appartement",,
40.64,,,,,1,43,2,,"Appartement",,
47.82,,,,,1,48,3,,"Appartement",,
25.05,,,,,1,27,1,,"Appartement",,
54.95,,,,,1,54,4,,"Maison",,
53.23,,,,,1,51,3,,"Appartement",,
46.57,,,,,2,46,2,,"Appartement",,
39,,,,,1,40,1,,"Appartement",,
84.6,,,,,3,84,4,,"Appartement",,
45.13,,,,,1,45,2,,"Appartement",,
43.31,,,,,2,45,2,,"Appartement",,
90.92,,,,,2,95,3,,"Appartement",,
53.96,,,,,1,52,3,300,"Maison","S",
48.71,,,,,1,53,3,,"Appartement",,
41.67,,,,,1,40,3,,"Appartement",,
15.51,,,,,1,16,1,,"Appartement",,
63.09,,,,,1,62,3,,"Appartement",,
21.11,,,,,1,22,2,,"Appartement",,
91.64,,,,,3,94,4,,"Appartement",,
25.86,,,,,1,25,1,,"Appartement",,
56.51,,,,,2,56,2,,"Appartement",,
19.65,,,,,1,20,1,,"Appartement",,
51.64,,,,,1,52,2,,"Appartement",,
98.91,,,,,2,88,4,,"Maison",,
28.9,,,,,1,24,2,,"Appartement",,
37.16,,,,,2,37,2,,"Appartement",,
79.44,,,,,3,80,4,,"Appartement",,
59.67,,,,,1,58,3,,"Maison",,
88.13,,,,,1,88,3,,"Appartement",,
46.31,,,,,1,48,2,,"Appartement",,
21.6,,,,,1,22,1,,"Appartement",,
67.95,,,,,1,68,3,,"Appartement",,
46.86,,,,,4,47,2,,"Appartement",,
45.13,,,,,1,46,2,,"Appartement",,
27.27,,,,,1,28,2,,"Appartement",,
30.52,,,,,1,33,3,,"Appartement",,
30.97,,,,,1,36,1,,"Appartement",,
33.3,,,,,2,33,2,,"Appartement",,
46.09,,,,,1,64,3,,"Maison",,
62.49,,,,,3,60,3,,"Appartement",,
29.93,,,,,1,30,2,,"Appartement",,
20.27,,,,,1,21,1,,"Appartement",,
25.57,,,,,1,27,1,,"Appartement",,
33.14,,,,,1,49,3,,"Maison",,
28.07,,,,,1,27,1,,"Appartement",,
30.56,,,,,1,55,2,,"Appartement",,
56.92,,,,,2,58,3,,"Appartement",,
19.57,,,,,1,20,1,,"Appartement",,
52.66,,,,,1,53,4,,"Maison",,
62.54,,,,,1,62,4,,"Appartement",,
71.68,,,,,1,74,3,,"Appartement",,
20.52,,,,,1,21,1,,"Appartement",,
59.31,,,,,1,61,3,,"Appartement",,
43,,,,,3,43,2,,"Appartement",,
97.01,,,,,1,96,4,,"Maison",,
95.38,,,,,2,98,4,,"Appartement",,
82.95,,,,,1,90,4,,"Appartement",,
46.15,,,,,2,45,2,,"Appartement",,
66.51,,,,,2,66,3,,"Appartement",,
33.36,,,,,1,33,1,,"Appartement",,
84.29,,,,,1,83,4,90,"Maison","S",
89.6,,,,,1,85,3,,"Maison",,
67.45,,,,,2,68,3,,"Appartement",,
72.78,,,,,1,73,3,,"Appartement",,
27.43,,,,,2,27,1,,"Appartement",,
22.15,,,,,1,23,2,,"Appartement",,
41.44,,,,,1,41,2,,"Appartement",,
34.08,,,,,1,30,1,,"Maison",,
77.55,,,,,1,73,4,,"Appartement",,
95.06,,,,,3,93,5,,"Appartement",,
37.54,,,,,3,38,2,,"Appartement",,
29.74,,,,,2,22,1,,"Appartement",,
100,,,,,1,98,3,,"Appartement",,
42.84,,,,,1,44,2,,"Appartement",,
66.42,,,,,2,62,3,,"Appartement",,
32.14,,,,,1,40,1,,"Appartement",,
75.45,,,,,2,70,4,,"Appartement",,
66.12,,,,,1,95,4,,"Maison",,
21.45,,,,,1,22,1,,"Appartement",,
43.92,,,,,1,43,2,,"Appartement",,
20.38,,,,,1,20,1,,"Appartement",,
40.06,,,,,2,39,2,,"Appartement",,
79.28,,,,,1,80,4,,"Maison",,
55.75,,,,,1,70,3,,"Appartement",,
75.92,,,,,3,76,3,,"Appartement",,
62.7,,,,,2,63,3,,"Appartement",,
41.6,,,,,1,42,2,,"Appartement",,
59.78,,,,,4,60,2,,"Appartement",,
56.11,,,,,1,55,3,,"Appartement",,
106.02,,,,,1,106,5,,"Maison",,
36.56,,,,,2,37,2,,"Appartement",,
64.76,,,,,3,65,3,,"Maison",,
43.09,,,,,1,44,2,,"Appartement",,
24.28,,,,,1,25,2,,"Appartement",,
44.31,,,,,1,44,2,,"Appartement",,
26.79,,,,,1,24,2,,"Maison",,
34.54,,,,,1,36,2,,"Appartement",,
26.7,,,,,1,29,2,,"Appartement",,
61.33,,,,,1,60,3,,"Appartement",,
27.32,,,,,1,28,2,,"Appartement",,
57.25,,,,,3,58,3,,"Appartement",,
50.86,,,,,1,52,2,,"Appartement",,
82.44,,,,,1,75,4,,"Appartement",,
20.6,,,,,1,21,1,,"Appartement",,
35.11,,,,,1,34,2,,"Appartement",,
72.9,,,,,1,70,4,,"Appartement",,
30.83,,,,,1,31,1,,"Appartement",,
58.11,,,,,1,47,4,121,"Appartement","S",
49.3,,,,,1,53,2,,"Appartement",,
82.95,,,,,1,51,2,,"Appartement",,
49.26,,,,,3,49,4,,"Maison",,
37.23,,,,,1,38,2,,"Appartement",,
38.52,,,,,1,43,2,,"Appartement",,
54.4,,,,,2,57,3,,"Appartement",,
62.18,,,,,3,63,3,,"Appartement",,
50.92,,,,,1,54,3,,"Appartement",,
25.55,,,,,1,24,2,,"Appartement",,
60.43,,,,,1,58,3,,"Appartement",,
92.06,,,,,1,86,5,,"Appartement",,
68.41,,,,,2,75,3,,"Maison",,
19.72,,,,,1,19,1,,"Appartement",,
79.21,,,,,1,79,4,,"Maison",,
30.19,,,,,1,30,1,,"Appartement",,
34.32,,,,,2,34,2,,"Appartement",,
78.32,,,,,2,78,3,,"Appartement",,
132.36,,,,,1,66,3,,"Maison",,
57.48,,,,,3,58,2,,"Appartement",,
29.08,,,,,1,28,1,,"Appartement",,
31.66,,,,,1,31,2,,"Appartement",,
63.81,,,,,1,66,3,,"Appartement",,
40.98,,,,,1,40,3,,"Appartement",,
39.94,,,,,1,39,2,,"Appartement",,
60.99,,,,,1,60,3,,"Appartement",,
81.45,,,,,1,82,4,,"Maison",,
49.95,,,,,1,46,2,,"Appartement",,
93.03,,,,,1,91,4,,"Maison",,
63.6,,,,,1,108,5,,"Maison",,
41.84,,,,,1,42,2,,"Appartement",,
64,,,,,3,65,4,,"Appartement",,
62.1,,,,,1,61,3,,"Appartement",,
95.46,,,,,1,87,4,,"Maison",,
64.49,,,,,1,58,2,,"Maison",,
56.18,,,,,3,57,3,,"Appartement",,
43.71,,,,,1,30,2,,"Appartement",,
95.1,,,,,1,72,3,,"Maison",,
35.25,,,,,1,34,2,,"Appartement",,
36.39,,,,,1,37,2,,"Maison",,
25.08,,,,,1,25,3,,"Appartement",,
42.96,,,,,1,43,2,,"Appartement",,
47.78,,,,,1,48,3,,"Maison",,
41.64,,,,,2,42,2,,"Appartement",,
62.9,,,,,2,60,3,,"Appartement",,
42.43,,,,,1,46,3,,"Appartement",,
17.59,,,,,1,17,1,,"Appartement",,
71.47,,,,,2,86,4,,"Appartement",,
68.01,,,,,1,67,3,,"Maison",,
57.25,,,,,1,59,3,,"Maison",,
28.4,,,,,1,28,1,,"Appartement",,
22.57,,,,,1,23,1,,"Appartement",,
26.25,,,,,1,33,2,,"Maison",,
60.02,,,,,2,61,3,,"Maison",,
39.89,,,,,1,45,2,,"Appartement",,
23.14,,,,,2,22,1,,"Appartement",,
66.74,,,,,3,66,3,,"Appartement",,
36.71,,,,,2,37,2,,"Appartement",,
106.32,,,,,1,105,4,,"Maison",,
75.92,,,,,1,81,3,,"Appartement",,
106.88,,,,,5,106,5,,"Appartement",,
43.79,,,,,1,44,2,,"Appartement",,
46.4,,,,,2,46,2,,"Appartement",,
17.27,,,,,1,18,1,,"Appartement",,
33.89,,,,,1,34,2,,"Appartement",,
42.88,,,,,2,43,2,,"Appartement",,
31,,,,,1,32,2,,"Appartement",,
23.01,,,,,1,23,1,,"Appartement",,
84.99,,,,,1,94,5,,"Appartement",,
41.58,,,,,2,42,3,,"Appartement",,
45.18,,,,,1,45,2,,"Appartement",,
44.52,,,,,3,44,2,,"Appartement",,
34.07,,,,,1,40,3,,"Appartement",,
41.8,,,,,1,42,2,,"Appartement",,
32.36,,,,,2,33,1,,"Appartement",,
25.17,,,,,1,25,3,,"Appartement",,
45.16,,,,,1,64,3,,"Maison",,
33.87,,,,,2,35,2,,"Appartement",,
24.21,,,,,1,24,1,,"Appartement",,
22.42,,,,,1,23,1,,"Appartement",,
45.88,,,,,1,46,2,,"Appartement",,
78.74,,,,,2,80,4,,"Appartement",,
75.49,,,,,2,88,4,,"Appartement",,
29.32,,,,,1,30,2,,"Appartement",,
37.61,,,,,2,39,2,,"Appartement",,
54.73,,,,,2,55,2,,"Appartement",,
33.89,,,,,1,29,2,,"Appartement",,
25.17,,,,,1,25,3,,"Appartement",,
49.65,,,,,1,49,2,,"Appartement",,
50.7,,,,,2,47,2,,"Maison",,
55.59,,,,,1,56,3,,"Appartement",,
63.28,,,,,1,66,4,,"Maison",,
41.18,,,,,1,38,2,,"Appartement",,
41.81,,,,,1,42,3,,"Appartement",,
44.06,,,,,1,45,1,,"Appartement",,
25.17,,,,,1,25,3,,"Appartement",,
48.49,,,,,1,60,3,,"Maison",,
69.65,,,,,3,71,3,,"Appartement",,
78.02,,,,,1,78,4,,"Maison",,
93.26,,,,,1,85,4,,"Maison",,
95.73,,,,,2,94,4,,"Appartement",,
37.1,,,,,1,39,1,,"Appartement",,
39.88,,,,,1,39,1,,"Appartement",,
45.59,,,,,1,45,2,,"Appartement",,
23.03,,,,,1,22,1,,"Appartement",,
24.55,,,,,1,24,1,,"Appartement",,
42.75,,,,,2,49,2,,"Appartement",,
76.87,,,,,2,76,3,,"Appartement",,
23.24,,,,,1,23,1,,"Appartement",,
23.27,,,,,1,23,1,,"Appartement",,
62,,,,,2,60,3,,"Maison",,
56.25,,,,,1,56,3,,"Appartement",,
61.36,,,,,2,54,3,,"Appartement",,
55.82,,,,,2,58,3,,"Appartement",,
95.01,,,,,2,87,3,,"Appartement",,
62.33,,,,,1,62,3,,"Appartement",,
46.95,,,,,2,47,2,,"Appartement",,
31.85,,,,,1,30,2,,"Appartement",,
38.2,,,,,1,40,2,,"Appartement",,
107.09,,,,,2,92,4,,"Appartement",,
42.6,,,,,1,43,2,,"Appartement",,
84.52,,,,,2,88,4,,"Appartement",,
73.54,,,,,2,74,4,,"Appartement",,
33.72,,,,,1,33,2,,"Appartement",,
42.57,,,,,2,39,2,,"Appartement",,
108.02,,,,,1,108,4,,"Appartement",,
47.33,,,,,1,47,2,,"Appartement",,
47.29,,,,,1,47,1,,"Appartement",,
85.09,,,,,2,83,4,,"Appartement",,
45.27,,,,,2,45,2,,"Appartement",,
65.92,,,,,2,66,3,,"Appartement",,
67.79,,,,,1,69,3,,"Maison",,
65.75,,,,,2,66,4,,"Appartement",,
57.12,,,,,1,57,3,,"Appartement",,
16.65,,,,,1,18,1,,"Appartement",,
80.35,,,,,1,80,4,,"Maison",,
13.48,,,,,1,13,1,,"Appartement",,
65.48,,,,,2,69,3,,"Appartement",,
38.7,,,,,2,38,2,,"Appartement",,
34.23,,,,,1,35,2,,"Appartement",,
116.52,,,,,1,115,5,,"Appartement",,
49.37,,,,,1,60,2,,"Appartement",,
7.22,,,,,5,76,3,,"Maison",,
70.38,,,,,2,73,3,,"Appartement",,
52.45,,,,,2,52,2,,"Appartement",,
73.11,,,,,1,82,3,,"Appartement",,
22.19,,,,,1,22,1,,"Appartement",,
64.21,,,,,2,65,3,,"Appartement",,
60.36,,,,,1,59,3,,"Appartement",,
85.78,,,,,2,88,4,,"Appartement",,
36,,,,,3,35,2,,"Appartement",,
120,,,,,2,121,4,,"Appartement",,
66.11,,,,,2,69,4,,"Appartement",,
20.68,,,,,1,22,1,,"Appartement",,
30.2,,,,,1,29,1,,"Appartement",,
68,,,,,1,71,3,,"Appartement",,
42.94,,,,,1,44,2,,"Appartement",,
67.55,,,,,2,67,3,,"Appartement",,
81.73,,,,,2,81,4,,"Appartement",,
39.04,,,,,1,38,2,,"Appartement",,
23.4,,,,,1,23,1,,"Appartement",,
85.96,,,,,1,85,4,,"Appartement",,
47.9,,,,,1,48,2,,"Appartement",,
28.44,,,,,1,28,2,,"Appartement",,
149.55,,,,,2,148,5,,"Appartement",,
88.28,,,,,3,94,3,,"Appartement",,
66.63,,,,,5,75,4,,"Appartement",,
97.36,,,,,2,100,3,,"Appartement",,
153.34,,,,,1,117,5,,"Maison",,
66.07,,,,,2,66,4,,"Appartement",,
23.72,,,,,1,25,2,,"Appartement",,
82.34,,,,,3,80,3,,"Appartement",,
74.57,,,,,2,74,3,,"Appartement",,
92.58,,,,,2,107,5,,"Appartement",,
72.48,,,,,2,74,3,,"Appartement",,
64.8,,,,,3,47,2,,"Appartement",,
31.93,,,,,2,32,1,,"Appartement",,
78.38,,,,,1,74,3,,"Appartement",,
63.9,,,,,2,64,4,,"Appartement",,
92.53,,,,,2,85,5,,"Maison",,
82.58,,,,,1,81,3,,"Appartement",,
21.54,,,,,2,28,1,,"Appartement",,
70.1,,,,,1,70,3,,"Appartement",,
71.97,,,,,1,69,4,,"Appartement",,
59.78,,,,,2,62,3,,"Appartement",,
71.25,,,,,1,69,4,,"Appartement",,
71.92,,,,,1,72,3,,"Appartement",,
46.94,,,,,2,47,2,,"Appartement",,
48.33,,,,,2,48,2,,"Appartement",,
62,,,,,2,61,3,,"Appartement",,
37.66,,,,,3,55,1,,"Appartement",,
155,,,,,1,217,1,,"Appartement",,
81.44,,,,,3,80,2,,"Appartement",,
64.02,,,,,2,66,3,,"Appartement",,
62.5,,,,,1,74,2,,"Appartement",,
42.02,,,,,1,45,2,,"Appartement",,
57.74,,,,,2,66,3,,"Appartement",,
18,,,,,1,18,1,,"Appartement",,
68.87,,,,,1,71,4,,"Appartement",,
42.14,,,,,1,45,3,,"Appartement",,
192.57,,,,,1,198,3,,"Appartement",,
76.9,,,,,2,89,3,,"Appartement",,
57.76,,,,,1,58,3,,"Appartement",,
17.66,,,,,1,17,1,,"Appartement",,
18.4,,,,,1,19,1,,"Appartement",,
