Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","7","Angola","5510","Production","83","Sorgho","2019","2019","tonnes","32257","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","8","Antigua-et-Barbuda","5510","Production","56","Maïs","2019","2019","tonnes","80","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","194","Arabie saoudite","5510","Production","15","Blé","2019","2019","tonnes","534000","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","194","Arabie saoudite","5510","Production","56","Maïs","2019","2019","tonnes","134881","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","194","Arabie saoudite","5510","Production","79","Mils","2019","2019","tonnes","11405","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","194","Arabie saoudite","5510","Production","44","Orge","2019","2019","tonnes","627982","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","194","Arabie saoudite","5510","Production","27","Riz, paddy","2019","2019","tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","194","Arabie saoudite","5510","Production","83","Sorgho","2019","2019","tonnes","123869","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","101","Alpiste","2019","2019","tonnes","41137","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","75","Avoine","2019","2019","tonnes","571630","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","15","Blé","2019","2019","tonnes","19459727","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","108","Ceréales nda","2019","2019","tonnes","16325","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","56","Maïs","2019","2019","tonnes","56860704","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","79","Mils","2019","2019","tonnes","4140","","Donnée officielle"
