product_id,price,onsale_web,stock_quantity,sku,total_sales,post_name
4202,38.0,1,46,15655,0.0,mas-de-daumas-gassac-igp-saint-guilhem-le-desert-blanc-2019
4203,9.9,1,89,15415,6.0,mas-laval-igp-pays-herault-pampres-blanc-2018
4204,11.3,1,31,15414,3.0,mas-laval-igp-pays-dherault-les-pampres-rouges-2017
4205,23.0,1,0,15413,12.0,mas-laval-terrasse-larzac-grande-cuvee-2016
4207,6.7,1,195,16023,5.0,montrose-cotes-de-thongue-2018
4208,7.6,1,578,16024,16.0,domaine-montrose-cotes-de-thongue-rose-2019
4210,79.8,1,0,15720,0.0,lucien-boillot-nuits-saint-georges-1ercru-pruliers-2017
4211,48.5,1,0,15714,1.0,lucien-boillot-pommard-2017
4212,39.8,1,19,15717,2.0,lucien-boillot-volnay-2017
4213,58.8,1,2,15718,0.0,lucien-boillot-volnay-1ercru-angles-2017
4215,26.5,1,0,15480,0.0,marc-colin-saint-aubin-luce-2017
4216,13.4,1,34,15213,1.0,ecu-muscadet-classic-2018
4217,17.1,1,17,15672,0.0,domaine-de-lecu-muscadet-granite-2018
4219,16.7,1,0,12599,1.0,domaine-de-lecu-muscadet-orthogneiss-2014
4220,11.6,1,66,15758,12.0,frissant-chenin-pierres-2018
4221,12.8,1,83,15829,15.0,xavier-frissant-touraine-roses-du-clos-2018
4222,8.9,1,66,15759,4.0,xavier-frissant-touraine-amboise-m-de-la-touche-2016
4223,9.7,1,180,16585,3.0,xavier-frissant-touraine-sauvignon-2019
4224,17.2,1,13,15306,2.0,pierre-martin-sancerre-rouge-2017
4225,16.9,1,20,16497,13.0,pierre-martin-sancerre-chavignol-blanc-2019
4227,12.6,1,49,15261,6.0,cotelleraie-saint-nicolas-croisee-2018
4228,29.9,1,8,12657,0.0,belliviere-jasnieres-rosiers-2015
4229,9.6,1,26,15403,0.0,merieau-touraine-arpent-vaudons-2018
4231,11.1,1,0,15461,1.0,catena-zapata-mendoza-alamos-malbec-2018
4232,11.1,1,35,16269,2.0,catena-zapata-mendoza-alamos-chardonnay-2019
4235,17.1,1,0,13905,1.0,maroc-graillot-thaleb-tandem-syrah-2015
4239,28.0,1,18,16567,0.0,augustin-collioure-blanc-adeodat-2019
4240,28.0,1,1,15436,0.0,domaine-augustin-collioure-rouge-adeodat-2017
4241,8.9,1,7,14725,1.0,parce-freres-hommage-fernand-blanc-2019
4242,8.6,1,85,15310,14.0,parce-freres-cotes-roussillon-zoe-rouge-2018
4244,13.5,1,50,15770,5.0,preceptorie-cotes-du-roussillon-coume-marie-2018
4245,8.9,1,141,16097,1.0,parce-freres-igp-pays-oc-zoe-viognier-2019
4246,15.3,1,25,15428,7.0,st-denis-macon-lugny-2017
4248,14.8,1,64,15033,12.0,domaine-saint-denis-macon-chardonnay-2017
4250,19.5,1,14,16317,30.0,domaine-saint-denis-bourgogne-clos-coque-2018
4251,14.1,1,102,15032,8.0,domaine-saint-denis-bourgogne-rouge-le-clos-2017
4253,59.6,1,15,6616,0.0,domaine-huet-vouvray-le-clos-du-bourg-moelleux-1ere-trie-2008
4254,26.9,1,0,12203,0.0,domaine-huet-vouvray-haut-lieu-demi-sec-2015
4256,24.4,1,0,14253,0.0,domaine-huet-vouvray-haut-lieu-sec-2016
4257,31.7,1,0,12476,0.0,domaine-huet-vouvray-le-mont-moelleux-2015
4258,32.1,1,0,14485,5.0,domaine-huet-vouvray-le-mont-sec-2017
4260,12.2,1,22,14945,2.0,chermette-vissoux-beaujolais-blanc-collonge-2017
4261,9.9,1,89,15662,1.0,chermette-domaine-du-vissoux-beaujolais-griottes-2018
4262,15.8,1,35,15663,3.0,chermette-domaine-du-vissoux-brouilly-pierreux-2018
4263,15.8,1,50,15664,0.0,chermette-domaine-du-vissoux-fleurie-poncie-2018
4264,17.8,1,48,15665,2.0,chermette-domaine-du-vissoux-moulin-a-vent-trois-roches-2018
4265,9.6,1,21,15136,3.0,bulliat-beaujolais-villages-bibine-2018
4267,19.0,1,21,16537,2.0,domaine-bulliat-morgon-amphore-cou-de-jus-2019
4268,15.2,1,55,16307,1.0,domaine-bulliat-morgon-colombier-2019
4269,10.2,1,1,16244,0.0,serol-cote-roannaise-originelles-2019
4270,15.5,1,31,15839,4.0,domaine-serol-cote-roannaise-millerands-2018
4271,16.6,1,56,13460,0.0,domaine-serol-cote-roannaise-perdriziere-2016
4272,9.2,1,25,13089,1.0,domaine-serol-cote-roannaise-cabochard-2016
4274,12.9,1,0,12942,0.0,domaine-serol-mousseux-turbullent
4275,14.9,1,14,14864,12.0,i-fabbri-chianti-classico-lamole-2017
4276,17.6,1,1,14527,0.0,i-fabbri-chianti-classico-terra-di-lamole-2015
4277,24.8,1,0,14865,3.0,i-fabbri-chianti-classico-riserva-2015
